num,roundType,power,bossId,boss,monster,powerRatio,reward,raidReward
35,1,28795,0,32046,32048~53|32043~53|32042~53|32207~53|32046~53|32042~53|0~53,1,10006~35|23203~1|23103~1|23303~1|23403~1,10005~11000~1|10006~62~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
36,0,29140,0,32119,32043~53|32004~53|32119~53|32011~53|32119~53|32005~53|0~53,1,10006~65|23203~1,10005~12000~1|10006~64~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
37,0,29140,0,32005,32001~54|32164~54|32046~54|32129~54|32005~54|32005~54|0~54,1,10006~65|23103~1,10005~12000~1|10006~64~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
38,0,29140,0,32042,32043~55|32010~55|32051~55|32119~55|32042~55|32124~55|0~55,1,10006~65|23303~1,10005~12000~1|10006~64~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
39,0,29175,0,32119,32004~56|32043~56|32207~56|32124~56|32119~56|32119~56|0~56,1,10006~65|23404~1,10005~12000~1|10006~64~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
40,1,29175,31052,31052,32053~57|32053~57|0~57|0~57|0~57|0~57|31052~62,1,10006~130|23204~1|23104~1|23304~1|23404~1,10005~12000~1|10006~64~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
41,0,29865,0,32042,32125~58|32164~58|32005~58|32011~58|32042~58|32042~58|0~58,1,10006~65|23204~1,10005~13000~1|10006~66~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
42,0,29865,0,32046,32001~59|32119~59|32042~59|32119~59|32046~59|32123~59|0~59,1,10006~65|23104~1,10005~13000~1|10006~66~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
43,0,29865,0,32011,32004~59|32048~59|32207~59|32011~59|32011~59|32207~59|0~59,1,10006~65|23304~1,10005~13000~1|10006~66~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
44,0,30560,0,32011,32047~60|32053~60|32051~60|32005~60|32011~60|32124~60|0~60,1,10006~65|23404~1,10005~13000~1|10006~66~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
45,1,30560,0,32046,32009~61|32004~61|32054~61|32018~61|32046~61|32123~61|0~61,1,10006~130|23204~1|23104~1|23304~1|23404~1,10005~13000~1|10006~66~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
46,0,31235,0,32206,32047~62|32209~62|32011~62|32123~62|32206~62|32123~62|0~62,1,10006~65|23204~1,10005~14000~1|10006~68~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
47,0,31235,0,32209,32126~63|32047~63|32018~63|32123~63|32209~63|32018~63|0~63,1,10006~65|23104~1,10005~14000~1|10006~68~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
48,0,31235,0,32051,32047~64|32004~64|32056~64|32015~64|32051~64|32011~64|0~64,1,10006~65|23304~1,10005~14000~1|10006~68~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
49,0,32050,0,32048,32004~65|32004~65|32005~65|32123~65|32048~65|32129~65|0~65,1,10006~65|23404~1,10005~14000~1|10006~68~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
50,1,32050,31141,31141,32134~66|32134~66|0~66|0~66|0~66|0~66|31141~71,1,10006~130|23204~1|23104~1|23304~1|23404~1,10005~14000~1|10006~68~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
51,0,32880,0,32123,32209~67|32164~67|32133~67|32209~67|32123~67|32018~67|0~67,1,10006~65|23204~1,10005~15000~1|10006~70~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
52,0,33610,0,32129,32053~68|32208~68|32213~68|32005~68|32129~68|32046~68|0~68,1,10006~65|23104~1,10005~15000~1|10006~70~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
53,0,33610,0,32133,32169~69|32004~69|32010~69|32046~69|32133~69|32051~69|0~69,1,10006~65|23304~1,10005~15000~1|10006~70~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
54,0,34690,0,32123,32004~70|32010~70|32054~70|32005~70|32123~70|32129~70|0~70,1,10006~65|23404~1,10005~15000~1|10006~70~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
55,1,34690,0,32206,32004~71|32125~71|32005~71|32048~71|32206~71|32051~71|0~71,1,10006~130|23204~1|23104~1|23304~1|23404~1,10005~15000~1|10006~70~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
56,0,35785,0,32207,32125~72|32208~72|32046~72|32046~72|32207~72|32011~72|0~72,1,10006~65|23204~1,10005~16000~1|10006~72~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
57,0,36565,0,32005,32004~73|32052~73|32133~73|32046~73|32005~73|32046~73|0~73,1,10006~65|23104~1,10005~16000~1|10006~72~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
58,0,36565,0,32053,32009~74|32208~74|32124~74|32054~74|32053~74|32005~74|0~74,1,10006~65|23304~1,10005~16000~1|10006~72~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
59,0,37710,0,32123,32043~75|32043~75|32054~75|32206~75|32123~75|32051~75|0~75,1,10006~65|23404~1,10005~16000~1|10006~72~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
60,1,37710,31235,31235,32025~76|32025~76|0~76|0~76|0~76|0~76|31235~81,1,10006~130|23204~1|23104~1|23304~1|23404~1,10005~16000~1|10006~72~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
61,0,38845,0,32206,32131~76|32043~76|32048~76|32206~76|32206~76|32206~76|0~76,1,10006~65|23204~1,10005~17000~1|10006~74~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
62,0,39650,0,32213,32043~77|32009~77|32010~77|32054~77|32213~77|32051~77|0~77,1,10006~65|23104~1,10005~17000~1|10006~74~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
63,0,39650,0,32011,32125~78|32048~78|32046~78|32056~78|32011~78|32056~78|0~78,1,10006~65|23304~1,10005~17000~1|10006~74~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
64,0,40820,0,32005,32043~78|32126~78|32054~78|32005~78|32005~78|32123~78|0~78,1,10006~65|23404~1,10005~17000~1|10006~74~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
65,1,40820,0,32046,32043~79|32053~79|32123~79|32010~79|32046~79|32209~79|0~79,1,10006~135|23204~1|23104~1|23304~1|23404~1,10005~17000~1|10006~74~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
66,0,42010,0,32010,32125~80|32053~80|32206~80|32207~80|32010~80|32206~80|0~80,1,10006~65|23204~1,10005~18000~1|10006~76~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
67,0,46280,0,32014,32047~80|32010~80|32213~80|32134~80|32014~80|32011~80|0~80,1,10006~65|23104~1,10005~18000~1|10006~76~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
68,0,46280,0,32048,32009~81|32209~81|32011~81|32010~81|32048~81|32054~81|0~81,1,10006~65|23304~1,10005~18000~1|10006~76~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
69,0,46500,0,32053,32164~82|32126~82|32016~82|32014~82|32053~82|32133~82|0~82,1,10006~65|23404~1,10005~18000~1|10006~76~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
70,1,46500,31059,31059,32054~83|32054~83|0~83|0~83|0~83|0~83|31059~88,1,10006~135|23204~1|23104~1|23304~1|23404~1,10005~18000~1|10006~76~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
71,0,47235,0,32206,32053~83|32009~83|32016~83|32048~83|32206~83|32056~83|0~83,1,10006~65|23204~1,10005~19000~1|10006~78~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
72,0,47085,0,32134,32048~84|32053~84|32010~84|32129~84|32134~84|32051~84|0~84,1,10006~65|23104~1,10005~19000~1|10006~78~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
73,0,47085,0,32048,32130~85|32010~85|32213~85|32206~85|32048~85|32014~85|0~85,1,10006~65|23304~1,10005~19000~1|10006~78~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
74,0,47275,0,32010,32208~85|32209~85|32209~85|32206~85|32010~85|32129~85|0~85,1,10006~65|23404~1,10005~19000~1|10006~78~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
75,1,47275,0,32051,32014~86|32047~86|32048~86|32056~86|32051~86|32206~86|0~86,1,10006~135|23204~1|23104~1|23304~1|23404~1,10005~19000~1|10006~78~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
76,0,47440,0,32054,32126~87|32209~87|32056~87|32056~87|32054~87|32213~87|0~87,1,10006~65|23204~1,10005~20000~1|10006~80~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
77,0,47700,0,32053,32131~87|32052~87|32134~87|32048~87|32053~87|32213~87|0~87,1,10006~65|23104~1,10005~20000~1|10006~80~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
78,0,47700,0,32018,32010~88|32053~88|32048~88|32207~88|32018~88|32213~88|0~88,1,10006~65|23304~1,10005~20000~1|10006~80~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
79,0,48300,0,32129,32208~89|32130~89|32010~89|32011~89|32129~89|32209~89|0~89,1,10006~65|23404~1,10005~20000~1|10006~80~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
80,1,48300,31138,31138,32130~90|32130~90|0~90|0~90|0~90|0~90|31138~95,1,10006~135|23204~1|23104~1|23304~1|23404~1,10005~20000~1|10006~80~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
81,0,48895,0,32133,32164~90|32052~90|32209~90|32048~90|32133~90|32018~90|0~90,1,10006~65|23204~1,10005~21000~1|10006~82~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
82,0,49145,0,32133,32130~91|32052~91|32134~91|32048~91|32133~91|32053~91|0~91,1,10006~65|23104~1,10005~21000~1|10006~82~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
83,0,49145,0,32170,32125~91|32170~91|32207~91|32010~91|32170~91|32011~91|0~91,1,10006~65|23304~1,10005~21000~1|10006~82~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
84,0,49725,0,32011,32130~92|32208~92|32207~92|32048~92|32011~92|32048~92|0~92,1,10006~65|23404~1,10005~21000~1|10006~82~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
85,1,49725,0,32011,32131~92|32164~92|32206~92|32010~92|32011~92|32011~92|0~92,1,10006~135|23204~1|23104~1|23304~1|23404~1,10005~21000~1|10006~82~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
86,0,50390,0,32213,32131~93|32164~93|32206~93|32011~93|32213~93|32054~93|0~93,1,10006~70|23204~1,10005~22000~1|10006~84~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
87,0,50715,0,32207,32125~93|32009~93|32213~93|32209~93|32207~93|32014~93|0~93,1,10006~70|23104~1,10005~22000~1|10006~84~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
88,0,50715,0,32134,32047~94|32009~94|32056~94|32170~94|32134~94|32206~94|0~94,1,10006~70|23304~1,10005~22000~1|10006~84~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
89,0,51375,0,32054,32131~94|32125~94|32051~94|32010~94|32054~94|32048~94|0~94,1,10006~70|23404~1,10005~22000~1|10006~84~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
90,1,51375,31022,31022,32059~95|32059~95|0~95|0~95|0~95|0~95|31022~100,1,10006~140|23204~1|23104~1|23304~1|23404~1,10005~22000~1|10006~84~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
91,0,52020,0,32048,32125~95|32053~95|32134~95|32048~95|32048~95|32015~95|0~95,1,10006~70|23204~1,10005~23000~1|10006~86~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
92,0,52345,0,32018,32009~96|32053~96|32213~96|32018~96|32018~96|32056~96|0~96,1,10006~70|23104~1,10005~23000~1|10006~86~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
93,0,52345,0,32011,32048~96|32009~96|32051~96|32054~96|32011~96|32018~96|0~96,1,10006~70|23304~1,10005~23000~1|10006~86~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
94,0,52995,0,32209,32010~97|32009~97|32018~97|32010~97|32209~97|32206~97|0~97,1,10006~70|23404~1,10005~23000~1|10006~86~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
95,1,52995,0,32048,32014~97|32009~97|32207~97|32207~97|32048~97|32015~97|0~97,1,10006~140|23204~1|23104~1|23304~1|23404~1,10005~23000~1|10006~86~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
96,0,53635,0,32011,32209~98|32053~98|32015~98|32016~98|32011~98|32014~98|0~98,1,10006~70|23204~1,10005~24000~1|10006~88~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
97,0,54655,0,32053,32010~98|32047~98|32010~98|32207~98|32053~98|32051~98|0~98,1,10006~70|23104~1,10005~24000~1|10006~88~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
98,0,54655,0,32170,32126~99|32131~99|32048~99|32014~99|32170~99|32051~99|0~99,1,10006~70|23304~1,10005~24000~1|10006~88~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
99,0,55325,0,32056,32125~99|32169~99|32129~99|32018~99|32056~99|32048~99|0~99,1,10006~70|23404~1,10005~24000~1|10006~88~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
100,1,55325,31300,31300,32058~100|32138~100|0~100|0~100|0~100|0~100|31300~105,1,10006~140|23204~1|23104~1|23304~1|23404~1,10005~24000~1|10006~88~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
101,0,59480,0,30511,32053~100|30516~100|30503~100|32133~100|30511~100|32014~100|0~100,1,10006~70|23204~1,10005~25000~1|10006~90~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
102,0,60235,0,30507,30517~101|32131~101|32016~101|32015~101|30507~101|32133~101|0~101,1,10006~70|23104~1,10005~25000~1|10006~90~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
103,0,60235,0,32014,30513~101|32170~101|30502~101|32014~101|32014~101|30507~101|0~101,1,10006~70|23304~1,10005~25000~1|10006~90~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
104,0,61635,0,30504,32130~102|32170~102|32018~102|32213~102|30504~102|30518~102|0~102,1,10006~70|23404~1,10005~25000~1|10006~90~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
105,1,61635,0,32213,32014~103|30501~103|32213~103|30502~103|32213~103|32053~103|0~103,1,10006~140|23204~1|23104~1|23304~1|23404~1,10005~25000~1|10006~90~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
106,0,63045,0,32213,30513~103|32208~103|30504~103|30512~103|32213~103|30515~103|0~103,1,10006~70|23204~1,10005~26000~1|10006~92~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
107,0,63815,0,32053,32052~104|32014~104|32053~104|32056~104|32053~104|32015~104|0~104,1,10006~70|23104~1,10005~26000~1|10006~92~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
108,0,63815,0,32213,32169~104|32170~104|32054~104|30504~104|32213~104|32209~104|0~104,1,10006~70|23304~1,10005~26000~1|10006~92~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
109,0,65250,0,30507,30509~105|30513~105|32018~105|30512~105|30507~105|32014~105|0~105,1,10006~70|23404~1,10005~26000~1|10006~92~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
110,1,65250,30511,30511,30505~106|32208~106|0~106|0~106|0~106|0~106|30511~111,1,10006~140|23204~1|23104~1|23304~1|23404~1,10005~26000~1|10006~92~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
111,0,66710,0,30507,30505~106|30501~106|32016~106|30518~106|30507~106|32015~106|0~106,1,10006~70|23204~1,10005~27000~1|10006~94~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
112,0,67510,0,32133,30510~107|32170~107|30518~107|32016~107|32133~107|30515~107|0~107,1,10006~70|23104~1,10005~27000~1|10006~94~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
113,0,67510,0,30504,30517~107|30516~107|30515~107|32014~107|30504~107|32015~107|0~107,1,10006~70|23304~1,10005~27000~1|10006~94~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
114,0,68980,0,32056,32052~108|30505~108|32170~108|30504~108|32056~108|30502~108|0~108,1,10006~70|23404~1,10005~27000~1|10006~94~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
115,1,68980,0,30507,32053~108|32131~108|32056~108|30515~108|30507~108|32016~108|0~108,1,10006~145|23204~1|23104~1|23304~1|23404~1,10005~27000~1|10006~94~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
116,0,70470,0,30515,32169~109|32169~109|32133~109|30512~109|30515~109|30508~109|0~109,1,10006~70|23204~1,10005~28000~1|10006~96~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
117,0,71295,0,32213,30516~109|32130~109|32018~109|32209~109|32213~109|30511~109|0~109,1,10006~70|23104~1,10005~28000~1|10006~96~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
118,0,71295,0,30503,32052~110|32208~110|32053~110|30518~110|30503~110|32134~110|0~110,1,10006~70|23304~1,10005~28000~1|10006~96~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
119,0,72440,0,32014,30505~110|32169~110|32016~110|32209~110|32014~110|30518~110|0~110,1,10006~70|23404~1,10005~28000~1|10006~96~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
120,1,72440,31015,31015,30513~111|32053~111|0~111|0~111|0~111|0~111|31015~116,1,10006~145|23204~1|23104~1|23304~1|23404~1,10005~28000~1|10006~96~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
121,0,73590,0,30502,30513~111|30501~111|32016~111|30504~111|30502~111|30507~111|0~111,1,10006~70|23204~1,10005~29000~1|10006~98~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
122,0,74055,0,32209,32209~112|30517~112|32054~112|30512~112|32209~112|30508~112|0~112,1,10006~70|23104~1,10005~29000~1|10006~98~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
123,0,74055,0,32209,30513~113|32209~113|30518~113|32209~113|32209~113|30518~113|0~113,1,10006~70|23304~1,10005~29000~1|10006~98~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
124,0,75195,0,32133,30505~113|30505~113|30512~113|30515~113|32133~113|30512~113|0~113,1,10006~70|23404~1,10005~29000~1|10006~98~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
125,1,76345,0,32134,30505~114|30501~114|32054~114|32213~114|32134~114|30515~114|0~114,1,10006~145|23204~1|23104~1|23304~1|23404~1,10005~29000~1|10006~98~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
126,0,76345,0,32016,32014~115|32130~115|32209~115|30504~115|32016~115|30502~115|0~115,1,10006~70|23204~1,10005~30000~1|10006~100~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
127,0,77975,0,32134,32131~115|30505~115|30507~115|32056~115|32134~115|32054~115|0~115,1,10006~70|23104~1,10005~30000~1|10006~100~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
128,0,77975,0,32213,30510~116|32209~116|32014~116|30518~116|32213~116|30504~116|0~116,1,10006~70|23304~1,10005~30000~1|10006~100~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
129,0,79175,0,30511,30506~117|32131~117|30507~117|32056~117|30511~117|30515~117|0~117,1,10006~70|23404~1,10005~30000~1|10006~100~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
130,1,80390,31170,31170,30513~118|32208~118|0~118|0~118|0~118|0~118|31170~123,1,10006~145|23204~1|23104~1|23304~1|23404~1,10005~30000~1|10006~100~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
131,0,80390,0,30512,30510~118|30501~118|30515~118|32016~118|30512~118|32053~118|0~118,1,10006~70|23204~1,10005~31000~1|10006~102~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
132,0,80900,0,30503,30505~119|30513~119|32018~119|32056~119|30503~119|30504~119|0~119,1,10006~70|23104~1,10005~31000~1|10006~102~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
133,0,80900,0,30502,32169~119|30513~119|30511~119|32053~119|30502~119|32015~119|0~119,1,10006~70|23304~1,10005~31000~1|10006~102~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
134,0,86020,0,30512,30506~120|30506~120|32062~120|30511~120|30512~120|30511~120|0~120,1,10006~70|23404~1,10005~31000~1|10006~102~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
135,1,89045,0,32220,30501~120|32137~120|30518~120|32142~120|32220~120|30512~120|0~120,1,10006~145|23204~1|23104~1|23304~1|23404~1,10005~31000~1|10006~102~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
136,0,89045,0,32140,30516~121|32301~121|30511~121|32063~121|32140~121|32141~121|0~121,1,10006~75|23204~1,10005~32000~1|10006~104~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
137,0,89595,0,32220,30509~121|32060~121|32021~121|30507~121|32220~121|32061~121|0~121,1,10006~75|23104~1,10005~32000~1|10006~104~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
