num,roundType,power,bossId,boss,monster,reward,raidReward
528,0,972245,0,32260,32020~279|32021~279|32024~279|32180~279|32260~279|32341~279|0~279,10006~220|23304~1,10005~110000~1|10006~260~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
529,0,974775,0,30256,32445~279|32021~279|32063~279|32341~279|30256~279|32300~279|0~279,10006~220|23404~1,10005~110000~1|10006~260~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
530,1,974775,31022,31022,32324~280|32019~280|0~280|0~280|0~280|0~280|31022~285,10006~445|23204~1|23104~1|23304~1|23404~1,10005~110000~1|10006~260~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
531,0,977320,0,32236,32445~280|32020~280|32062~280|32064~280|32236~280|32140~280|0~280,10006~220|23204~1,10005~111000~1|10006~262~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
532,0,977320,0,32060,32136~280|32137~280|32142~280|32061~280|32060~280|32300~280|0~280,10006~220|23104~1,10005~111000~1|10006~262~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
533,0,979860,0,32022,32059~280|32021~280|32236~280|32023~280|32022~280|32180~280|0~280,10006~220|23304~1,10005~111000~1|10006~262~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
534,0,982410,0,30256,32235~281|32058~281|32260~281|32220~281|30256~281|32341~281|0~281,10006~220|23404~1,10005~111000~1|10006~262~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
535,1,982410,0,30256,32138~281|32301~281|32062~281|32470~281|30256~281|32180~281|0~281,10006~445|23204~1|23104~1|23304~1|23404~1,10005~111000~1|10006~262~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
536,0,984965,0,32142,32236~281|32019~281|32300~281|32060~281|32142~281|32060~281|0~281,10006~220|23204~1,10005~112000~1|10006~264~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
537,0,984965,0,32341,32060~282|32020~282|32140~282|32142~282|32341~282|32300~282|0~282,10006~220|23104~1,10005~112000~1|10006~264~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
538,0,987515,0,32300,32021~282|32445~282|32236~282|32022~282|32300~282|32062~282|0~282,10006~220|23304~1,10005~112000~1|10006~264~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
539,0,990070,0,32061,32138~282|32301~282|32023~282|32142~282|32061~282|32341~282|0~282,10006~220|23404~1,10005~112000~1|10006~264~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
540,1,990070,31220,31220,32058~283|32236~283|0~283|0~283|0~283|0~283|31220~288,10006~445|23204~1|23104~1|23304~1|23404~1,10005~112000~1|10006~264~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
541,0,992635,0,32341,32021~283|32445~283|32260~283|32260~283|32341~283|32324~283|0~283,10006~220|23204~1,10005~113000~1|10006~266~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
542,0,992635,0,32341,32137~283|32341~283|32060~283|32220~283|32341~283|32236~283|0~283,10006~220|23104~1,10005~113000~1|10006~266~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
543,0,1073115,0,32260,32324~283|32138~283|32300~283|32024~283|32260~283|32470~283|0~283,10006~220|23304~1,10005~113000~1|10006~266~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
544,0,1076020,0,32260,32138~284|32236~284|32025~284|32341~284|32260~284|32342~284|0~284,10006~220|23404~1,10005~113000~1|10006~266~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
545,1,1076020,0,32236,32138~284|32059~284|32060~284|32341~284|32236~284|32062~284|0~284,10006~445|23204~1|23104~1|23304~1|23404~1,10005~113000~1|10006~266~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
546,0,1078925,0,32024,32136~284|32020~284|32063~284|32341~284|32024~284|32140~284|0~284,10006~220|23204~1,10005~114000~1|10006~268~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
547,0,1078925,0,32022,32138~285|32138~285|32341~285|32342~285|32022~285|32324~285|0~285,10006~220|23104~1,10005~114000~1|10006~268~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
548,0,1081835,0,32022,32021~285|32058~285|32341~285|32300~285|32022~285|32236~285|0~285,10006~220|23304~1,10005~114000~1|10006~268~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
549,0,1084750,0,32142,32236~285|32021~285|32300~285|32341~285|32142~285|32024~285|0~285,10006~220|23404~1,10005~114000~1|10006~268~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
550,1,1084750,31061,31061,32341~286|32136~286|0~286|0~286|0~286|0~286|31061~291,10006~445|23204~1|23104~1|23304~1|23404~1,10005~114000~1|10006~268~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
551,0,1087675,0,32324,32445~286|32021~286|32063~286|32219~286|32324~286|32470~286|0~286,10006~225|23204~1,10005~115000~1|10006~270~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
552,0,1087675,0,32025,32021~287|32020~287|32324~287|30256~287|32025~287|32219~287|0~287,10006~225|23104~1,10005~115000~1|10006~270~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
553,0,1090600,0,32260,32058~287|32136~287|32324~287|32300~287|32260~287|32062~287|0~287,10006~225|23304~1,10005~115000~1|10006~270~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
554,0,1093525,0,32064,32137~288|32236~288|32063~288|32025~288|32064~288|32260~288|0~288,10006~225|23404~1,10005~115000~1|10006~270~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
555,1,1093525,0,32341,32058~288|32019~288|30256~288|32470~288|32341~288|32180~288|0~288,10006~450|23204~1|23104~1|23304~1|23404~1,10005~115000~1|10006~270~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
556,0,1096450,0,32180,32137~289|32236~289|32260~289|32022~289|32180~289|32341~289|0~289,10006~225|23204~1,10005~116000~1|10006~272~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
557,0,1096450,0,32061,32324~289|32324~289|32341~289|32300~289|32061~289|32060~289|0~289,10006~225|23104~1,10005~116000~1|10006~272~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
558,0,1099385,0,32180,32019~290|32020~290|32140~290|32142~290|32180~290|32220~290|0~290,10006~225|23304~1,10005~116000~1|10006~272~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
559,0,1102330,0,32141,32324~290|32341~290|32236~290|32140~290|32141~290|32220~290|0~290,10006~225|23404~1,10005~116000~1|10006~272~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
560,1,1102330,31300,31300,32138~291|32138~291|0~291|0~291|0~291|0~291|31300~296,10006~450|23204~1|23104~1|23304~1|23404~1,10005~116000~1|10006~272~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
561,0,1105270,0,32060,32138~291|32060~291|32021~291|32300~291|32060~291|32324~291|0~291,10006~225|23204~1,10005~117000~1|10006~274~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
562,0,1105270,0,32021,32137~291|32019~291|32063~291|32342~291|32021~291|30256~291|0~291,10006~225|23104~1,10005~117000~1|10006~274~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
563,0,1108220,0,32324,32021~292|32236~292|32021~292|32061~292|32324~292|30256~292|0~292,10006~225|23304~1,10005~117000~1|10006~274~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
564,0,1111165,0,32470,32059~292|32058~292|32300~292|32470~292|32470~292|32236~292|0~292,10006~225|23404~1,10005~117000~1|10006~274~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
565,1,1111165,0,32324,32020~293|32341~293|30256~293|32236~293|32324~293|32220~293|0~293,10006~450|23204~1|23104~1|23304~1|23404~1,10005~117000~1|10006~274~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
566,0,1114120,0,32324,32137~293|32445~293|32061~293|32342~293|32324~293|32022~293|0~293,10006~225|23204~1,10005~118000~1|10006~276~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
567,0,1114120,0,32260,32059~293|32020~293|32236~293|32180~293|32260~293|32220~293|0~293,10006~225|23104~1,10005~118000~1|10006~276~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
568,0,1118160,0,32470,32021~294|32059~294|30256~294|32341~294|32470~294|32470~294|0~294,10006~225|23304~1,10005~118000~1|10006~276~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
569,0,1121145,0,32300,32137~294|32020~294|32236~294|32236~294|32300~294|32022~294|0~294,10006~225|23404~1,10005~118000~1|10006~276~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
570,1,1121145,31022,31022,32138~295|32301~295|0~295|0~295|0~295|0~295|31022~300,10006~450|23204~1|23104~1|23304~1|23404~1,10005~118000~1|10006~276~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
571,0,1124145,0,32062,32445~295|32301~295|32025~295|32341~295|32062~295|32021~295|0~295,10006~225|23204~1,10005~119000~1|10006~278~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
572,0,1124145,0,32220,32445~295|32301~295|32024~295|32061~295|32220~295|32024~295|0~295,10006~225|23104~1,10005~119000~1|10006~278~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
573,0,1127145,0,32236,32060~295|32341~295|32236~295|32180~295|32236~295|32060~295|0~295,10006~225|23304~1,10005~119000~1|10006~278~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
574,0,1130140,0,32023,32137~295|32445~295|32236~295|32140~295|32023~295|32219~295|0~295,10006~225|23404~1,10005~119000~1|10006~278~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
575,1,1130140,0,32300,32235~295|32341~295|32064~295|32021~295|32300~295|32180~295|0~295,10006~450|23204~1|23104~1|23304~1|23404~1,10005~119000~1|10006~278~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
576,0,1133140,0,32260,32020~295|32236~295|30256~295|32063~295|32260~295|32141~295|0~295,10006~225|23204~1,10005~120000~1|10006~280~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
577,0,1133140,0,32022,32235~295|32301~295|32064~295|32324~295|32022~295|32324~295|0~295,10006~225|23104~1,10005~120000~1|10006~280~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
578,0,1136155,0,32260,32058~295|32059~295|32260~295|32300~295|32260~295|32022~295|0~295,10006~225|23304~1,10005~120000~1|10006~280~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
579,0,1139160,0,32025,32058~295|32019~295|32236~295|32341~295|32025~295|32236~295|0~295,10006~225|23404~1,10005~120000~1|10006~280~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
580,1,1139160,31063,31063,32301~296|32236~296|0~296|0~296|0~296|0~296|31063~301,10006~455|23204~1|23104~1|23304~1|23404~1,10005~120000~1|10006~280~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
581,0,1142180,0,32142,32058~296|32301~296|32236~296|32140~296|32142~296|32025~296|0~296,10006~225|23204~1,10005~121000~1|10006~282~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
582,0,1142180,0,32140,32021~296|32445~296|32470~296|32140~296|32140~296|32024~296|0~296,10006~225|23104~1,10005~121000~1|10006~282~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
583,0,1145195,0,32141,32235~297|32020~297|32023~297|32021~297|32141~297|32021~297|0~297,10006~225|23304~1,10005~121000~1|10006~282~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
584,0,1147480,0,32236,32020~297|32058~297|32217~297|30256~297|32236~297|32470~297|0~297,10006~225|23404~1,10005~121000~1|10006~282~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
585,1,1147480,0,32022,32445~298|32324~298|30256~298|32062~298|32022~298|32025~298|0~298,10006~455|23204~1|23104~1|23304~1|23404~1,10005~121000~1|10006~282~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
586,0,1149770,0,32141,32341~298|32324~298|32300~298|32025~298|32141~298|32260~298|0~298,10006~225|23204~1,10005~122000~1|10006~284~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
587,0,1149770,0,32236,32019~298|32445~298|32470~298|32220~298|32236~298|32060~298|0~298,10006~225|23104~1,10005~122000~1|10006~284~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
588,0,1152060,0,32061,32058~299|32136~299|32142~299|32141~299|32061~299|32324~299|0~299,10006~225|23304~1,10005~122000~1|10006~284~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
589,0,1154340,0,32219,32324~299|32136~299|32236~299|32060~299|32219~299|32141~299|0~299,10006~225|23404~1,10005~122000~1|10006~284~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
590,1,1154340,31324,31324,32235~300|32236~300|0~300|0~300|0~300|0~300|31324~305,10006~455|23204~1|23104~1|23304~1|23404~1,10005~122000~1|10006~284~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
591,0,1156635,0,32141,32445~300|32058~300|32024~300|32217~300|32141~300|32217~300|0~300,10006~225|23204~1,10005~123000~1|10006~286~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
592,0,1156635,0,32021,32020~300|32059~300|32140~300|32022~300|32021~300|32142~300|0~300,10006~225|23104~1,10005~123000~1|10006~286~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
593,0,1158930,0,30256,32341~300|32020~300|32324~300|32180~300|30256~300|32324~300|0~300,10006~225|23304~1,10005~123000~1|10006~286~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
594,0,1161220,0,32324,32136~300|32020~300|32220~300|32220~300|32324~300|32324~300|0~300,10006~225|23404~1,10005~123000~1|10006~286~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
595,1,1161220,0,32022,32059~300|32020~300|32217~300|32342~300|32022~300|32060~300|0~300,10006~455|23204~1|23104~1|23304~1|23404~1,10005~123000~1|10006~286~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
596,0,1163510,0,32217,32138~300|32021~300|32024~300|32300~300|32217~300|30256~300|0~300,10006~225|23204~1,10005~124000~1|10006~288~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
597,0,1163510,0,30256,32137~300|32445~300|32063~300|32062~300|30256~300|32060~300|0~300,10006~225|23104~1,10005~124000~1|10006~288~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
598,0,1165810,0,32217,32060~300|32445~300|32063~300|32342~300|32217~300|32061~300|0~300,10006~225|23304~1,10005~124000~1|10006~288~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
599,0,1168105,0,32022,32019~300|32236~300|32300~300|32236~300|32022~300|32470~300|0~300,10006~225|23404~1,10005~124000~1|10006~288~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
600,1,1168105,31341,31341,32445~300|32020~300|0~300|0~300|0~300|0~300|31341~305,10006~455|23204~1|23104~1|23304~1|23404~1,10005~124000~1|10006~288~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
601,0,1168105,0,32024,32236~300|32301~300|32217~300|32142~300|32024~300|32260~300|0~300,10006~230|23204~1,10005~125000~1|10006~290~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
602,0,1168105,0,32300,32058~300|32060~300|32300~300|32022~300|32300~300|32470~300|0~300,10006~230|23104~1,10005~125000~1|10006~290~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
603,0,1168105,0,32324,32058~300|32059~300|32217~300|32142~300|32324~300|32470~300|0~300,10006~230|23304~1,10005~125000~1|10006~290~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
604,0,1168105,0,32180,32060~300|32301~300|32324~300|32300~300|32180~300|32024~300|0~300,10006~230|23404~1,10005~125000~1|10006~290~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
605,1,1168105,0,32236,32341~300|32236~300|30256~300|32236~300|32236~300|32324~300|0~300,10006~460|23204~1|23104~1|23304~1|23404~1,10005~125000~1|10006~290~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
606,0,1168105,0,32219,32138~300|32445~300|32341~300|32342~300|32219~300|32060~300|0~300,10006~230|23204~1,10005~126000~1|10006~292~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
607,0,1168105,0,32300,32059~300|32020~300|32236~300|32236~300|32300~300|32470~300|0~300,10006~230|23104~1,10005~126000~1|10006~292~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
608,0,1168105,0,32142,32138~300|32236~300|32140~300|32024~300|32142~300|32141~300|0~300,10006~230|23304~1,10005~126000~1|10006~292~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
609,0,1168105,0,32021,32021~300|32138~300|32324~300|32022~300|32021~300|32219~300|0~300,10006~230|23404~1,10005~126000~1|10006~292~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
610,1,1168105,31341,31341,32324~300|32341~300|0~300|0~300|0~300|0~300|31341~305,10006~460|23204~1|23104~1|23304~1|23404~1,10005~126000~1|10006~292~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
611,0,1168105,0,32300,32021~300|32059~300|32064~300|32025~300|32300~300|32060~300|0~300,10006~230|23204~1,10005~127000~1|10006~294~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
612,0,1168105,0,32140,32301~300|32019~300|32141~300|32141~300|32140~300|32061~300|0~300,10006~230|23104~1,10005~127000~1|10006~294~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
613,0,1168105,0,32060,32021~300|32059~300|32300~300|32022~300|32060~300|32236~300|0~300,10006~230|23304~1,10005~127000~1|10006~294~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
614,0,1168105,0,32470,32301~300|32341~300|32236~300|32341~300|32470~300|32341~300|0~300,10006~230|23404~1,10005~127000~1|10006~294~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
615,1,1168105,0,32142,32059~300|32136~300|32060~300|32470~300|32142~300|32236~300|0~300,10006~460|23204~1|23104~1|23304~1|23404~1,10005~127000~1|10006~294~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
616,0,1168105,0,32062,32138~300|32324~300|32063~300|32324~300|32062~300|32022~300|0~300,10006~230|23204~1,10005~128000~1|10006~296~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
617,0,1168105,0,32141,32445~300|32324~300|32341~300|32341~300|32141~300|32300~300|0~300,10006~230|23104~1,10005~128000~1|10006~296~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
618,0,1168105,0,32341,32341~300|32324~300|32342~300|32022~300|32341~300|32341~300|0~300,10006~230|23304~1,10005~128000~1|10006~296~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
619,0,1168105,0,32324,32136~300|32060~300|32024~300|32260~300|32324~300|32324~300|0~300,10006~230|23404~1,10005~128000~1|10006~296~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
620,1,1168105,31260,31260,32060~300|32137~300|0~300|0~300|0~300|0~300|31260~305,10006~460|23204~1|23104~1|23304~1|23404~1,10005~128000~1|10006~296~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
621,0,1168105,0,32024,32021~300|32059~300|32470~300|32022~300|32024~300|30256~300|0~300,10006~230|23204~1,10005~129000~1|10006~298~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
622,0,1168105,0,32141,32138~300|32137~300|32300~300|32470~300|32141~300|32220~300|0~300,10006~230|23104~1,10005~129000~1|10006~298~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
623,0,1168105,0,32060,32060~300|32445~300|32260~300|32142~300|32060~300|30256~300|0~300,10006~230|23304~1,10005~129000~1|10006~298~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
624,0,1168105,0,32341,32138~300|32136~300|32021~300|32324~300|32341~300|32300~300|0~300,10006~230|23404~1,10005~129000~1|10006~298~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
625,1,1168105,0,30256,32445~300|32136~300|32061~300|32062~300|30256~300|32324~300|0~300,10006~460|23204~1|23104~1|23304~1|23404~1,10005~129000~1|10006~298~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
626,0,1168105,0,32061,32019~300|32021~300|32470~300|32260~300|32061~300|32217~300|0~300,10006~230|23204~1,10005~130000~1|10006~300~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
627,0,1168105,0,32025,32445~300|32138~300|32023~300|32024~300|32025~300|32022~300|0~300,10006~230|23104~1,10005~130000~1|10006~300~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
628,0,1168105,0,32063,32324~300|32058~300|32025~300|32341~300|32063~300|32219~300|0~300,10006~230|23304~1,10005~130000~1|10006~300~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
629,0,1168105,0,32021,32138~300|32019~300|32060~300|32180~300|32021~300|32180~300|0~300,10006~230|23404~1,10005~130000~1|10006~300~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
630,1,1168105,31341,31341,32138~300|32019~300|0~300|0~300|0~300|0~300|31341~305,10006~465|23204~1|23104~1|23304~1|23404~1,10005~130000~1|10006~300~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
631,0,1168105,0,32300,32301~300|32059~300|32219~300|32324~300|32300~300|32142~300|0~300,10006~230|23204~1,10005~131000~1|10006~302~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
632,0,1168105,0,32342,32059~300|32059~300|32236~300|32063~300|32342~300|32341~300|0~300,10006~230|23104~1,10005~131000~1|10006~302~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
633,0,1168105,0,32141,32445~300|32235~300|32064~300|32470~300|32141~300|32470~300|0~300,10006~230|23304~1,10005~131000~1|10006~302~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
634,0,1168105,0,32342,32021~300|32058~300|32342~300|32324~300|32342~300|32024~300|0~300,10006~230|23404~1,10005~131000~1|10006~302~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
635,1,1168105,0,30256,32060~300|32019~300|32061~300|32324~300|30256~300|32060~300|0~300,10006~465|23204~1|23104~1|23304~1|23404~1,10005~131000~1|10006~302~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
636,0,1168105,0,32061,32019~300|32137~300|32300~300|32025~300|32061~300|32236~300|0~300,10006~230|23204~1,10005~132000~1|10006~304~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
