id,txt_RoleName,txt_Des,star,starLimit,isInherit,fragment,distance,elem,jobId,role,fightScale,ishide,book,bloodType,bloodCount,skillNormal,skills,modifyPower,heroBaseProps,heroPropGrowth,monsterPropsRatio,actSummonCnt
30021,水影杀手,寒霜、针对残血、针对法师、针对辅助,5,10,1,22021~50,1,1,2,300210,1,,5|10,0,0,302101,302111|302121|302131|302141,,10~575|12~180|14~5130|15~105|20~0.05|21~1.5|30~1|31~1,10~23|12~13.5|14~85.5|15~0,1.15|0.9|1.14|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30022,水光,冰冻、寒霜、针对残血、行动技,5,14,1,22022~50,2,1,3,300220,1,,5|10|14,0,0,302201,302211|302221|302231|302241|302251,,10~621|12~171|14~4835|15~104|20~0.05|21~1.5|30~1|31~1,10~24.8|12~12.8|14~80.5|15~0,1.25|0.85|1.08|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,90
30023,精灵队长,暴击、禁魔、针对坦克、针对战士,5,14,1,22023~50,2,1,4,300230,1,,5|10|14,0,0,302301,302311|302321|302331|302341|302351,,10~594|12~183|14~4811|15~105|20~0.05|21~1.5|30~1|31~1,10~23.7|12~13.7|14~80.1|15~0,1.2|0.9|1.08|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30024,悠妮,治疗、针对后排,5,10,1,22024~50,2,1,5,300240,1,,5|10,0,0,302401,302411|302421|302431|302441,,10~517|12~195|14~5319|15~104|20~0.05|21~1.5|30~1|31~1,10~20.6|12~14.6|14~88.6|15~0,1.05|0.95|1.2|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30025,伊娃,状态加成、针对后排,5,10,1,22025~50,2,1,5,300250,1,,5|10,0,0,302501,302511|302521|302531|302541,,10~514|12~197|14~5292|15~104|20~0.05|21~1.5|30~1|31~1,10~20.5|12~14.8|14~88.2|15~0,1.05|0.95|1.2|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30235,沃顿,降回怒、无敌、受击冰冻、受击治疗,5,14,1,22235~50,1,1,1,302350,1,,5|10|14,0,0,323501,323511|323521|323531|323541|323551,,10~390|12~231|14~6054|15~104|20~0.05|21~1.5|30~1|31~1,10~15.6|12~17.3|14~100.9|15~0,0.8|1.1|1.38|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30236,疾风,攻击治疗、反控、冰冻增伤,5,14,1,22236~50,1,1,2,302360,1,,5|10|14,0,0,323601,323611|323621|323631|323641|323651,,10~575|12~180|14~5130|15~105|20~0.05|21~1.5|30~1|31~1,10~23|12~13.5|14~85.5|15~0,1.15|0.9|1.14|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,90
30237,梦翼者,,5,14,1,22237~50,2,1,3,302370,1,1,,0,0,323701,,,10~628|12~168|14~4884|15~104|20~0.05|21~1.5|30~1|31~1,10~25.1|12~12.6|14~81.4|15~0,1.25|0.85|1.08|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30238,灵弓,,5,14,1,22238~50,2,1,4,302380,1,1,,0,0,323801,,,10~606|12~176|14~4908|15~105|20~0.05|21~1.5|30~1|31~1,10~24.2|12~13.2|14~81.8|15~0,1.2|0.9|1.08|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30042,吸血蝙蝠,偷取,1,1,,22042~5,1,2,4,300420,1,,1,0,0,304201,304211,,10~267|12~69|14~1808|15~100|20~0.05|21~1.5|30~1|31~1,10~10.7|12~5.2|14~30.1|15~0,1.32|0.9|0.99|100|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30043,惊雷兽,防御增强,2,2,,22043~10,1,2,1,300430,1,,2,0,0,304301,304311,,10~224|12~105|14~2903|15~101|20~0.05|21~1.5|30~1|31~1,10~8.9|12~7.9|14~48.3|15~0,0.88|1.1|1.27|101|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30046,神枪手,单体伤害,2,2,,22046~10,2,2,4,300460,1,,2,0,0,304601,304611,,10~346|12~85|14~2004|15~102|20~0.05|21~1.5|30~1|31~1,10~13.8|12~6.4|14~33.4|15~0,1.32|0.9|0.99|102|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30047,冰蓝巨兽,前排防御增强,3,3,,22047~20,1,2,1,300470,1,,3,0,0,304701,304711|304721,,10~264|12~132|14~3415|15~102|20~0.05|21~1.5|30~1|31~1,10~10.5|12~9.9|14~56.9|15~0,0.88|1.1|1.27|102|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30048,飞行守卫III型,针对后排、针对残血,3,3,,22048~20,2,2,2,300480,1,,3,0,0,304801,304811|304821,,10~377|12~107|14~2849|15~103|20~0.05|21~1.5|30~1|31~1,10~15.1|12~8|14~47.4|15~0,1.27|0.9|1.05|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30051,孤狼,治疗,3,3,,22051~20,1,2,5,300510,1,,3,0,0,305101,305111|305121,,10~343|12~112|14~3029|15~102|20~0.05|21~1.5|30~1|31~1,10~13.7|12~8.4|14~50.4|15~0,1.16|0.95|1.1|102|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30052,水晶蜘蛛,反伤、受击回怒,4,5,,22052~30,1,2,1,300520,1,,4|5,0,0,305201,305211|305221|305231,,10~346|12~173|14~4690|15~103|20~0.05|21~1.5|30~1|31~1,10~13.8|12~13|14~78.1|15~0,0.88|1.1|1.27|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30053,匿影武者,中毒、针对后排,4,5,,22053~30,1,2,2,300530,1,,4|5,0,0,305301,305311|305321|305331,,10~495|12~141|14~3912|15~104|20~0.05|21~1.5|30~1|31~1,10~19.8|12~10.5|14~65.2|15~0,1.27|0.9|1.05|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30054,铃铛猫,全体、针对战士,4,5,,22054~30,1,2,3,300540,1,,4|5,0,0,305401,305411|305421|305431,,10~695|12~129|14~3385|15~105|20~0.05|21~1.5|30~1|31~1,10~24.2|12~9.6|14~56.4|15~0,1.38|0.85|0.99|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30056,花仙子,免疫控制、免疫暴击、针对后排,4,5,,22056~30,2,2,4,300560,1,,4|5,0,0,305601,305611|305621|305631,,10~528|12~144|14~3564|15~104|20~0.05|21~1.5|30~1|31~1,10~21.1|12~10.8|14~59.4|15~0,1.32|0.9|0.99|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30058,翔空,嘲讽、受击治疗、护盾、雷吼之友,5,14,1,22058~50,1,2,1,300580,1,,5|10|14,0,0,305801,305811|305821|305831|305841|305851,,10~442|12~221|14~5635|15~106|20~0.05|21~1.5|30~1|31~1,10~17.6|12~16.5|14~93.9|15~0,0.88|1.1|1.27|106|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30059,雷神之手,连斩、护盾、回合技,5,10,1,22059~50,2,2,2,300590,1,,5|10,0,0,305901,305911|305921|305931|305941,,10~638|12~181|14~4608|15~103|20~0.05|21~1.5|30~1|31~1,10~25.5|12~13.6|14~76.8|15~0,1.27|0.9|1.05|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30060,神爪,麻痹、暴击、针对后排,5,10,1,22060~50,1,2,2,300600,1,,5|10,0,0,306001,306011|306021|306031|306041,,10~641|12~182|14~4561|15~104|20~0.05|21~1.5|30~1|31~1,10~25.6|12~13.7|14~76|15~0,1.27|0.9|1.05|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30061,触电法师,麻痹、全体、增伤,5,10,1,22061~50,2,2,3,300610,1,,5|10,0,0,306101,306111|306121|306131|306141,,10~701|12~173|14~4276|15~105|20~0.05|21~1.5|30~1|31~1,10~28|12~13|14~71.2|15~0,1.38|0.85|0.99|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30062,稻草人,最大生命伤害、控制增伤,5,10,1,22062~50,2,2,3,300620,1,,5|10,0,0,306201,306211|306221|306231|306241,,10~704|12~174|14~4232|15~104|20~0.05|21~1.5|30~1|31~1,10~28.1|12~13|14~70.5|15~0,1.38|0.85|0.99|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30063,电玩少女,沉默、普攻增强、禁魔,5,10,1,22063~50,2,2,4,300630,1,,5|10,0,0,306301,306311|306321|306331|306341,,10~660|12~180|14~4455|15~105|20~0.05|21~1.5|30~1|31~1,10~26.4|12~13.5|14~74.2|15~0,1.32|0.9|0.99|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30064,链锤,普攻治疗、受击治疗、治疗,5,10,1,22064~50,1,2,5,300640,1,,5|10,0,0,306401,306411|306421|306431|306441,,10~583|12~189|14~4925|15~104|20~0.05|21~1.5|30~1|31~1,10~23.3|12~14.1|14~82|15~0,1.16|0.95|1.1|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30256,雷吼,麻痹、麻痹增伤、暴击流、翔空机友,5,14,1,22256~50,1,2,3,302560,1,,5|10|14,0,0,325601,325611|325621|325631|325641|325651,,10~701|12~168|14~4410|15~103|20~0.05|21~1.5|30~1|31~1,10~28|12~12.6|14~73.5|15~0,1.38|0.85|0.99|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,90
30257,雷隐,,5,14,1,22257~50,1,2,2,302570,1,1,,0,0,325701,,,10~651|12~177|14~4631|15~105|20~0.05|21~1.5|30~1|31~1,10~26|12~13.2|14~77.1|15~0,1.27|0.9|1.05|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30260,神谕者,复活、强效治疗、死亡治疗,5,14,1,22260~50,2,2,5,302600,1,,5|10|14,0,0,326001,326011|326021|326031|326041|326051,,10~600|12~186|14~4851|15~104|20~0.05|21~1.5|30~1|31~1,10~24|12~13.9|14~80.8|15~0,1.16|0.95|1.1|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,90
30119,食人花,燃烧,1,1,,22119~5,2,4,2,301190,1,,1,0,0,311901,311911,,10~277|12~70|14~1750|15~100|20~0.05|21~1.5|30~1|31~1,10~11.1|12~5.2|14~29.1|15~0,1.32|0.9|1|100|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30123,暴怒蜡烛,燃烧,2,2,,22123~10,1,4,3,301230,1,,2,0,0,312301,312311,,10~359|12~85|14~2126|15~101|20~0.05|21~1.5|30~1|31~1,10~14.3|12~6.3|14~35.4|15~0,1.44|0.85|0.95|101|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30124,恶魔拳手,单体伤害,2,2,,22124~10,1,4,5,301240,1,,2,0,0,312401,312411,,10~298|12~95|14~2374|15~101|20~0.05|21~1.5|30~1|31~1,10~11.9|12~7.1|14~39.5|15~0,1.21|0.95|1.05|101|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30125,小恶魔,群体伤害,3,3,,22125~20,1,4,1,301250,1,,3,0,0,312501,312511|312521,,10~270|12~133|14~3292|15~102|20~0.05|21~1.5|30~1|31~1,10~10.8|12~9.9|14~54.8|15~0,0.92|1.1|1.21|102|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30126,邪恶劣魔,攻击前排,3,3,,22126~20,1,4,1,301260,1,,3,0,0,312601,312611|312621,,10~267|12~133|14~3309|15~102|20~0.05|21~1.5|30~1|31~1,10~10.7|12~10|14~55.1|15~0,0.92|1.1|1.21|102|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30129,赤红蝎,禁魔、针对后排,3,3,,22129~20,1,4,4,301290,1,,3,0,0,312901,312911|312921,,10~397|12~110|14~2602|15~103|20~0.05|21~1.5|30~1|31~1,10~15.8|12~8.2|14~43.3|15~0,1.38|0.9|0.95|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30130,小火龙,治疗、攻击治疗,4,5,,22130~30,2,4,1,301300,1,,4|5,0,0,313001,313011|313021|313031,,10~349|12~180|14~4455|15~103|20~0.05|21~1.5|30~1|31~1,10~13.9|12~13.5|14~74.2|15~0,0.92|1.1|1.21|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30131,焰灵,攻击降防,4,5,,22131~30,2,4,1,301310,1,,4|5,0,0,313101,313111|313121|313131,,10~368|12~176|14~4347|15~103|20~0.05|21~1.5|30~1|31~1,10~14.7|12~13.2|14~72.4|15~0,0.92|1.1|1.21|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30133,南瓜头,怒气回复、针对后排,4,5,,22133~30,1,4,3,301330,1,,4|5,0,0,313301,313311|313321|313331,,10~572|12~137|14~3384|15~103|20~0.05|21~1.5|30~1|31~1,10~22.8|12~10.3|14~56.4|15~0,1.44|0.85|0.95|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30134,巨头,针对残血、治疗,4,5,,22134~30,1,4,4,301340,1,,4|5,0,0,313401,313411|313421|313431,,10~546|12~146|14~3367|15~104|20~0.05|21~1.5|30~1|31~1,10~21.8|12~11|14~56.1|15~0,1.38|0.9|0.95|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30136,烈焰之刃,燃烧、减伤、降速,5,14,1,22136~50,2,4,1,301360,1,,5|10|14,0,0,313601,313611|313621|313631|313641|313651,,10~453|12~226|14~5352|15~104|20~0.05|21~1.5|30~1|31~1,10~18.1|12~16.9|14~89.2|15~0,0.92|1.1|1.21|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30137,蛮人将军,赌命、攻击降防,5,10,1,22137~50,1,4,1,301370,1,,5|10,0,0,313701,313711|313721|313731|313741,,10~450|12~228|14~5325|15~104|20~0.05|21~1.5|30~1|31~1,10~18|12~17.1|14~88.7|15~0,0.92|1.1|1.21|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30138,鬼侍,石化、燃烧、全体、针对战士,5,14,1,22138~50,1,4,2,301380,1,,5|10|14,0,0,313801,313811|313821|313831|313841|313851,,10~644|12~189|14~4376|15~104|20~0.05|21~1.5|30~1|31~1,10~25.7|12~14.1|14~72.9|15~0,1.32|0.9|1|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,90
30139,炎杀,针对残血、燃烧、持续伤害增强,5,14,1,22139~50,1,4,2,301390,1,1,,0,0,313901,,,10~661|12~180|14~4488|15~105|20~0.05|21~1.5|30~1|31~1,10~26.4|12~13.5|14~74.8|15~0,1.32|0.9|1|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30140,拉瓦,针对战士、针对游侠,5,10,1,22140~50,1,4,3,301400,1,,5|10,0,0,314001,314011|314021|314031|314041,,10~722|12~168|14~4273|15~104|20~0.05|21~1.5|30~1|31~1,10~28.8|12~12.6|14~71.2|15~0,1.44|0.85|0.95|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30141,铁炮,燃烧、燃烧增伤,5,10,1,22141~50,2,4,4,301410,1,,5|10,0,0,314101,314111|314121|314131|314141,,10~696|12~176|14~4295|15~105|20~0.05|21~1.5|30~1|31~1,10~27.8|12~13.2|14~71.5|15~0,1.38|0.9|0.95|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30142,大恶魔,治疗、免爆、死亡伤害,5,10,1,22142~50,1,4,5,301420,1,,5|10,0,0,314201,314211|314221|314231|314241,,10~612|12~184|14~4795|15~104|20~0.05|21~1.5|30~1|31~1,10~24.5|12~13.8|14~79.9|15~0,1.21|0.95|1.05|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30298,疾火,,5,14,1,22298~50,2,4,4,302980,1,1,,0,0,329801,,,10~703|12~172|14~4337|15~104|20~0.05|21~1.5|30~1|31~1,10~28.1|12~12.9|14~72.2|15~0,1.38|0.9|0.95|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30300,暴君,燃烧、石化、无敌、复活、全体,5,14,1,22300~50,2,4,3,303000,1,,5|10|14,0,0,330001,330011|330021|330031|330041|330051,,10~754|12~161|14~3827|15~104|20~0.05|21~1.5|30~1|31~1,10~30.1|12~12.1|14~63.7|15~0,1.44|0.85|0.95|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,90
30301,魔剑士,引爆持续伤害、燃烧、增伤,5,10,1,22301~50,2,4,4,303010,1,,5|10,0,0,330101,330111|330121|330131|330141,,10~690|12~180|14~4252|15~105|20~0.05|21~1.5|30~1|31~1,10~27.6|12~13.5|14~70.8|15~0,1.38|0.9|0.95|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30164,傀儡卫士,打前排,3,3,,22164~20,1,5,1,301640,1,,3,0,0,316401,316411|316421,,10~274|12~144|14~3449|15~102|20~0.05|21~1.5|30~1|31~1,10~10.9|12~10.8|14~57.4|15~0,0.92|1.21|1.27|102|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30167,神殿弓手,群体伤害,3,3,,22167~20,2,5,4,301670,1,,3,0,0,316701,316711|316721,,10~409|12~117|14~2726|15~103|20~0.05|21~1.5|30~1|31~1,10~16.3|12~8.8|14~45.4|15~0,1.38|0.99|0.99|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30169,雪人,针对战士、针对游侠,4,5,,22169~30,1,5,1,301690,1,,4|5,0,0,316901,316911|316921|316931,,10~362|12~190|14~4690|15~103|20~0.05|21~1.5|30~1|31~1,10~14.4|12~14.3|14~78.1|15~0,0.92|1.21|1.27|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
