num,monster,power,roundType,challengeReward,killReward
int32,[]{int32 id;int32 lv},int32,int32,[]{int32 id;int32 n},[]{int32 a;int32 b;int32 id;int32 n}
1,33001~100,1,0,10001~5000|10009~10,1~1~10001~50000|1~1~10009~300|2~2~10001~47000|2~2~10009~280|3~3~10001~42000|3~3~10009~250|4~10~10001~32000|4~10~10009~190|11~15~10001~25000|11~15~10009~150|16~20~10001~20000|16~20~10009~120|21~100~10001~15000|21~100~10009~90
12,33012~155,1,0,10001~16000|10009~32,1~1~10001~160000|1~1~10009~2500|2~2~10001~150000|2~2~10009~2350|3~3~10001~136000|3~3~10009~2120|4~10~10001~104000|4~10~10009~1620|11~15~10001~80000|11~15~10009~1250|16~20~10001~64000|16~20~10009~1000|21~100~10001~48000|21~100~10009~750
13,33013~160,1,0,10001~17000|10009~34,1~1~10001~170000|1~1~10009~2700|2~2~10001~159000|2~2~10009~2530|3~3~10001~144000|3~3~10009~2290|4~10~10001~110000|4~10~10009~1750|11~15~10001~85000|11~15~10009~1350|16~20~10001~68000|16~20~10009~1080|21~100~10001~51000|21~100~10009~810
14,33014~165,1,0,10001~18000|10009~36,1~1~10001~180000|1~1~10009~2900|2~2~10001~169000|2~2~10009~2720|3~3~10001~153000|3~3~10009~2460|4~10~10001~117000|4~10~10009~1880|11~15~10001~90000|11~15~10009~1450|16~20~10001~72000|16~20~10009~1160|21~100~10001~54000|21~100~10009~870
15,33015~170,1,0,10001~19000|10009~38,1~1~10001~190000|1~1~10009~3000|2~2~10001~178000|2~2~10009~2820|3~3~10001~161000|3~3~10009~2550|4~10~10001~123000|4~10~10009~1950|11~15~10001~95000|11~15~10009~1500|16~20~10001~76000|16~20~10009~1200|21~100~10001~57000|21~100~10009~900
16,33016~175,1,0,10001~20000|10009~40,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
17,33017~180,1,0,10001~20000|10009~42,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
18,33018~185,1,0,10001~20000|10009~44,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
19,33019~190,1,0,10001~20000|10009~46,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
20,33020~200,1,0,10001~20000|10009~48,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
21,33021~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
22,33022~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
23,33023~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
24,33024~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
25,33025~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
26,33026~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
27,33027~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
28,33028~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
29,33029~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
30,33030~200,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
31,33031~205,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
32,33032~210,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
33,33033~215,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
34,33034~220,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
35,33035~225,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
36,33036~230,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
37,33037~235,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
38,33038~240,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
39,33039~245,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
40,33040~250,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
41,33041~255,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
42,33042~260,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
43,33043~265,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
44,33044~270,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
45,33045~275,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
46,33046~280,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
47,33047~285,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
48,33048~290,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
49,33049~295,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
50,33050~300,1,0,10001~20000|10009~50,1~1~10001~200000|1~1~10009~3000|2~2~10001~188000|2~2~10009~2820|3~3~10001~170000|3~3~10009~2550|4~10~10001~130000|4~10~10009~1950|11~15~10001~100000|11~15~10009~1500|16~20~10001~80000|16~20~10009~1200|21~100~10001~60000|21~100~10009~900
