Id,lv,txt_Name,icon,txt_Des,skillFunc,skillType,distance,buffShow,nextSkill,skillAnim,bulletType,bulletJsonName,skillCharge,hitShake,powerRatio,kamiSound
301411,1,背刺,ui_skill_14,对后排随机2个敌人造成134%攻击的伤害，使目标防御-21%，持续2回合,3014111|3014112,special,2,,,attack_2,4,sp_bt_bladelight2_spear,,,,
301421,1,冷冻剂,ui_passiveSkill_32,攻击时10%几率使目标冰冻，无法行动，持续1回合,3014211,passive,2,,,,,,,,,
301431,1,攻击提升,ui_passiveSkill_critical,攻击+7%,11002,passive,2,,,,,,,,,
301432,2,攻击提升,ui_passiveSkill_critical,攻击+9%,11003,passive,2,,,,,,,,,
301501,1,,,,3015011,normal,2,,,attack_1,2,sp_bt_bladelight2_staff,,,,
301511,1,水浪卷,ui_skill_15,对后排敌人造成88%攻击的伤害,3015111,special,2,,,attack_2,4,sp_sk_hit_tornado_blue,,,,
301521,1,天气操纵,ui_passiveSkill_33,普通攻击有25%几率使目标寒霜，每回合受到施法者攻击25%的伤害，持续1回合,3015211,passive,2,,,,,,,,,
301531,1,攻击提升,ui_passiveSkill_critical,攻击+7%,11002,passive,2,,,,,,,,,
301532,2,攻击提升,ui_passiveSkill_critical,攻击+9%,11003,passive,2,,,,,,,,,
301601,1,,,,3016011,normal,2,,,attack_1,2,sp_arrow,,,,
301602,2,,,,3016021,normal,2,,,attack_1,2,sp_arrow,,,,
301611,1,附魔之箭,ui_skill_16,对后排随机2个敌人造成83%攻击的伤害，并标记目标，若2回合内标记目标死亡，则使敌方全体受疗效果-22%，持续1回合,3016111|3016112,special,2,,,attack_2,4,sp_sk_hit_punishing_shot_crowd,,,,
301621,1,精确,ui_passiveSkill_34,普通攻击造成110%的伤害,3016211,passive,2,,,,,,,,,
301631,1,防御提升,ui_passiveSkill_physicalDefence,防御+7%,11202,passive,2,,,,,,,,,
301632,2,防御提升,ui_passiveSkill_physicalDefence,防御+9%,11203,passive,2,,,,,,,,,
301801,1,,,,3018011,normal,2,,,attack_1,1,,,,,
301811,1,水灵祝福,ui_skill_24,对单个敌人造成152%攻击的伤害，恢复我方生命百分比最低的2人76%攻击的生命值,3018111|3018112,special,2,,,attack_2,1,,,,,
301821,1,浸透,ui_passiveSkill_62,攻击时使目标防御-36%，持续1回合,3018211,passive,2,,,,,,,,,
301831,1,防御提升,ui_passiveSkill_physicalDefence,防御+7%,11202,passive,2,,,,,,,,,
301832,2,防御提升,ui_passiveSkill_physicalDefence,防御+9%,11203,passive,2,,,,,,,,,
301901,1,,,,3019011,normal,1,,,attack_1,1,,,,,
301911,1,怒涛,ui_skill_19,对随机3个敌人造成105%攻击的伤害，25%几率使目标冰冻，无法行动，持续1回合,3019111|3019112,special,2,,,attack_2,4,sp_sk_hit_life_absorb_blue,,,,
301912,2,怒涛,ui_skill_19,对随机3个敌人造成115%攻击的伤害，25%几率使目标冰冻，无法行动，持续1回合,3019121|3019122,special,2,,,attack_2,4,sp_sk_hit_life_absorb_blue,,,,
301913,3,怒涛,ui_skill_19,对随机3个敌人造成126%攻击的伤害，25%几率使目标冰冻，无法行动，持续1回合,3019131|3019132,special,2,,,attack_2,4,sp_sk_hit_life_absorb_blue,,,,
301921,1,海潮卫士,ui_passiveSkill_37,每有1个敌人被冰冻，使自身防御+21%，持续到战斗结束,3019211,passive,2,,,,,,,,,
301922,2,海潮卫士,ui_passiveSkill_37,每有1个敌人被冰冻，使自身防御+24%，持续到战斗结束,3019221,passive,2,,,,,,,,,
301923,3,海潮卫士,ui_passiveSkill_37,每有1个敌人被冰冻，使自身防御+27%，持续到战斗结束,3019231,passive,2,,,,,,,,,
301931,1,生命提升,ui_passiveSkill_hp,生命+10%,11403,passive,2,,,,,,,,,
301932,2,生命提升,ui_passiveSkill_hp,生命+15%,11404,passive,2,,,,,,,,,
301933,3,生命提升,ui_passiveSkill_hp,生命+20%,11405,passive,2,,,,,,,,,
301941,1,防潮护甲,ui_passiveSkill_58,每有1个敌人被附加寒霜效果，使自身防御+21%，持续到战斗结束,3019411,passive,2,,,,,,,,,
301942,2,防潮护甲,ui_passiveSkill_58,每有1个敌人被附加寒霜效果，使自身防御+24%，持续到战斗结束,3019421,passive,2,,,,,,,,,
301943,3,防潮护甲,ui_passiveSkill_58,每有1个敌人被附加寒霜效果，使自身防御+27%，持续到战斗结束,3019431,passive,2,,,,,,,,,
302001,1,,,,3020011,normal,1,,,attack_1,1,,,,,
302011,1,潮汐之握,ui_skill_23,对前排敌人造成121%攻击的伤害，使目标受到寒霜，每回合受到施法者攻击18%的伤害，持续2回合,3020111|3020112,special,2,,,attack_2,4,sp_sk_bulehurt,,,,
302012,2,潮汐之握,ui_skill_23,对前排敌人造成133%攻击的伤害，使目标受到寒霜，每回合受到施法者攻击21%的伤害，持续2回合,3020121|3020122,special,2,,,attack_2,4,sp_sk_bulehurt,,,,
302013,3,潮汐之握,ui_skill_23,对前排敌人造成146%攻击的伤害，使目标受到寒霜，每回合受到施法者攻击24%的伤害，持续2回合,3020131|3020132,special,2,,,attack_2,4,sp_sk_bulehurt,,,,
302021,1,雪上加霜,ui_passiveSkill_38,对处于寒霜状态的敌人造成额外40%伤害,3020211,passive,2,,,,,,,,,
302022,2,雪上加霜,ui_passiveSkill_38,对处于寒霜状态的敌人造成额外40%伤害,3020221,passive,2,,,,,,,,,
302023,3,雪上加霜,ui_passiveSkill_38,对处于寒霜状态的敌人造成额外40%伤害,3020231,passive,2,,,,,,,,,
302031,1,暴击提升,ui_passiveSkill_magicDefence,暴击+9%,12003,passive,2,,,,,,,,,
302032,2,暴击提升,ui_passiveSkill_magicDefence,暴击+11%,12004,passive,2,,,,,,,,,
302033,3,暴击提升,ui_passiveSkill_magicDefence,暴击+13%,12005,passive,2,,,,,,,,,
302041,1,海神的遗产,ui_passiveSkill_59,使自身症状减伤+12%，持续到战斗结束,3020411,passive,2,,,,,,,,,
302042,2,海神的遗产,ui_passiveSkill_59,使自身症状减伤+14%，持续到战斗结束,3020421,passive,2,,,,,,,,,
302043,3,海神的遗产,ui_passiveSkill_59,使自身症状减伤+16%，持续到战斗结束,3020431,passive,2,,,,,,,,,
302101,1,,,,3021011,normal,1,,,attack_1,1,,,,,
302111,1,霜寒之舞,ui_skill_168,对生命最低的敌人造成216%攻击的伤害，使目标受到寒霜，每回合受到施法者攻击21%的伤害，持续3回合,3021111|3021112,special,2,,,attack_2,,,,,,
302112,2,霜寒之舞,ui_skill_168,对生命最低的敌人造成236%攻击的伤害，使目标受到寒霜，每回合受到施法者攻击24%的伤害，持续3回合,3021121|3021122,special,2,,,attack_2,,,,,,
302113,3,霜寒之舞,ui_skill_168,对生命最低的敌人造成259%攻击的伤害，使目标受到寒霜，每回合受到施法者攻击27%的伤害，持续3回合,3021131|3021132,special,2,,,attack_2,,,,,,
302121,1,破法者,ui_passiveSkill_39,使自身对法师增伤+12%，持续到战斗结束，队友受击时50%几率使自身攻击+19%，持续1回合，最高叠加6层,3021211|3021212,passive,2,,,,,,,,,
302122,2,破法者,ui_passiveSkill_39,使自身对法师增伤+14%，持续到战斗结束，队友受击时50%几率使自身攻击+22%，持续1回合，最高叠加6层,3021221|3021222,passive,2,,,,,,,,,
302123,3,破法者,ui_passiveSkill_39,使自身对法师增伤+16%，持续到战斗结束，队友受击时50%几率使自身攻击+25%，持续1回合，最高叠加6层,3021231|3021232,passive,2,,,,,,,,,
302131,1,攻击提升,ui_passiveSkill_critical,攻击+9%,11003,passive,2,,,,,,,,,
302132,2,攻击提升,ui_passiveSkill_critical,攻击+11%,11004,passive,2,,,,,,,,,
302133,3,攻击提升,ui_passiveSkill_critical,攻击+13%,11005,passive,2,,,,,,,,,
302141,1,法术闪避,ui_passiveSkill_60,使自身对辅助增伤+12%，持续到战斗结束，攻击时使自身暴伤+47%，持续2回合,3021411|3021412,passive,2,,,,,,,,,
302142,2,法术闪避,ui_passiveSkill_60,使自身对辅助增伤+14%，持续到战斗结束，攻击时使自身暴伤+54%，持续2回合,3021421|3021422,passive,2,,,,,,,,,
302143,3,法术闪避,ui_passiveSkill_60,使自身对辅助增伤+16%，持续到战斗结束，攻击时使自身暴伤+61%，持续2回合,3021431|3021432,passive,2,,,,,,,,,
302201,1,,,,3022011,normal,2,,,attack_1,2,sp_029_attack_fly,,,,
302211,1,水箭,ui_skill_20,对敌方随机2个目标造成140%攻击的伤害，25%几率使目标冰冻，无法行动，持续2回合，若目标为法师且被冰冻，则目标承受额外40%攻击的伤害,3022111|3022112|3022113,special,2,,,attack_2,4,sp_sk_hit_life_absorb_blue,,,,
302212,2,水箭,ui_skill_20,对敌方血量最低的2个目标造成148%攻击的伤害，28%几率使目标冰冻，无法行动，持续2回合，若目标为法师且被冰冻，则目标承受额外46%攻击的伤害,3022121|3022122|3022123,special,2,,,attack_2,4,sp_sk_hit_life_absorb_blue,,,,
302213,3,水箭,ui_skill_20,对敌方血量最低的2个目标造成156%攻击的伤害，31%几率使目标冰冻，无法行动，持续2回合，若目标为法师且被冰冻，则目标承受额外52%攻击的伤害,3022131|3022132|3022133,special,2,,,attack_2,4,sp_sk_hit_life_absorb_blue,,,,
302214,4,水箭,ui_skill_20,对敌方血量最低的2个目标造成170%攻击的伤害，35%几率使目标冰冻，无法行动，持续2回合，若目标为法师且被冰冻，则目标承受额外60%攻击的伤害,3022141|3022142|3022143,special,2,,,attack_2,4,sp_sk_hit_life_absorb_blue,,,,
302221,1,踏浪者,ui_passiveSkill_32,死亡时25%几率使敌方随机2个目标冰冻，无法行动，持续2回合,3022211,passive,2,,,,,,,,,
302222,2,踏浪者,ui_passiveSkill_32,死亡时28%几率使敌方随机2个目标冰冻，无法行动，持续2回合,3022221,passive,2,,,,,,,,,
302223,3,踏浪者,ui_passiveSkill_32,死亡时31%几率使敌方随机2个目标冰冻，无法行动，持续2回合,3022231,passive,2,,,,,,,,,
302224,4,踏浪者,ui_passiveSkill_32,死亡时35%几率使敌方随机2个目标冰冻，无法行动，持续2回合,3022241,passive,2,,,,,,,,,
302231,1,攻击提升,ui_passiveSkill_critical,攻击+9%,11003,passive,2,,,,,,,,,
302232,2,攻击提升,ui_passiveSkill_critical,攻击+11%,11004,passive,2,,,,,,,,,
302233,3,攻击提升,ui_passiveSkill_critical,攻击+13%,11005,passive,2,,,,,,,,,
302234,4,攻击提升,ui_passiveSkill_critical,攻击+15%，生命+20%,11006|11405,passive,2,,,,,,,,,
302241,1,水光,ui_passiveSkill_59,攻击时使目标寒霜，每回合受到施法者攻击40%的伤害，持续2回合,3022411,passive,2,,,,,,,,,
302242,2,水光,ui_passiveSkill_59,攻击时使目标寒霜，每回合受到施法者攻击46%的伤害，持续2回合,3022421,passive,2,,,,,,,,,
302243,3,水光,ui_passiveSkill_59,攻击时使目标寒霜，每回合受到施法者攻击52%的伤害，持续2回合,3022431,passive,2,,,,,,,,,
302244,4,水光,ui_passiveSkill_59,攻击时使目标寒霜，每回合受到施法者攻击60%的伤害，持续2回合,3022441,passive,2,,,,,,,,,
302251,1,极寒水雾,ui_skill_11,行动开始时对全体敌人造成15%攻击的伤害，并附加寒霜，每回合受到施法者攻击10%的伤害，持续1回合,3022511,passive,2,,,,,,,,,
302301,1,,,,3023011,normal,2,,,attack_1,2,sp_arrow,,,,
302311,1,水之拥抱,ui_skill_23,对随机3个敌人造成129%攻击的伤害，对坦克造成额外63%攻击的伤害,3023111|3023112,special,2,,,attack_2,4,sp_sk_hit_fire_ball_blue,,,,
302312,2,水之拥抱,ui_skill_23,对随机3个敌人造成141%攻击的伤害，对坦克造成额外69%攻击的伤害,3023121|3023122,special,2,,,attack_2,4,sp_sk_hit_fire_ball_blue,,,,
302313,3,水之拥抱,ui_skill_23,对随机3个敌人造成155%攻击的伤害，对坦克造成额外76%攻击的伤害,3023131|3023132,special,2,,,attack_2,4,sp_sk_hit_fire_ball_blue,,,,
302314,4,水之拥抱,ui_skill_23,对随机3个敌人造成173%攻击的伤害，对坦克造成额外84%攻击的伤害,3023141|3023142,special,2,,,attack_2,4,sp_sk_hit_fire_ball_blue,,,,
302321,1,制导箭,ui_passiveSkill_41,使自身对战士增伤+12%，持续到战斗结束，施放技能时50%几率使目标禁魔，无法回复能量，持续2回合,3023211|3023212,passive,2,,,,,,,,,
302322,2,制导箭,ui_passiveSkill_41,使自身对战士增伤+14%，持续到战斗结束，施放技能时50%几率使目标禁魔，无法回复能量，持续2回合,3023221|3023222,passive,2,,,,,,,,,
302323,3,制导箭,ui_passiveSkill_41,使自身对战士增伤+16%，持续到战斗结束，施放技能时50%几率使目标禁魔，无法回复能量，持续2回合,3023231|3023232,passive,2,,,,,,,,,
302324,4,制导箭,ui_passiveSkill_41,使自身对战士增伤+18%，持续到战斗结束，施放技能时50%几率使目标禁魔，无法回复能量，持续2回合,3023241|3023242,passive,2,,,,,,,,,
302331,1,防御提升,ui_passiveSkill_physicalDefence,防御+9%,11203,passive,2,,,,,,,,,
302332,2,防御提升,ui_passiveSkill_physicalDefence,防御+11%,11204,passive,2,,,,,,,,,
302333,3,防御提升,ui_passiveSkill_physicalDefence,防御+13%,11205,passive,2,,,,,,,,,
302334,4,防御提升,ui_passiveSkill_physicalDefence,防御+15%，攻击+11%,11206|11004,passive,2,,,,,,,,,
302341,1,受潮,ui_passiveSkill_62,使自身暴击+14%，暴伤+14%，持续到战斗结束,3023411,passive,2,,,,,,,,,
302342,2,受潮,ui_passiveSkill_62,使自身暴击+16%，暴伤+16%，持续到战斗结束,3023421,passive,2,,,,,,,,,
302343,3,受潮,ui_passiveSkill_62,使自身暴击+18%，暴伤+18%，持续到战斗结束,3023431,passive,2,,,,,,,,,
302344,4,受潮,ui_passiveSkill_62,使自身暴击+21%，暴伤+21%，持续到战斗结束,3023441,passive,2,,,,,,,,,
302351,1,箭意,ui_passiveSkill_34,回合结束时50%几率对敌方随机1个目标造成攻击30%的真实伤害，并有25%几率使其冰冻，无法行动，持续1回合,3023511,passive,2,,,,,,,,,
302401,1,,,,3024011,normal,2,,,attack_1,2,sp_arrow,,,,
302402,2,,,,3024021,normal,2,,,attack_1,2,sp_arrow,,,,
302411,1,生命赞颂,ui_skill_24,对后排随机1个敌人造成194%攻击的伤害，恢复我方全体57%攻击的生命值,3024111|3024112,special,2,,,attack_2,4,sp_sk_hit_blueexplor,,,,
302412,2,生命赞颂,ui_skill_24,对后排随机1个敌人造成212%攻击的伤害，恢复我方全体62%攻击的生命值,3024121|3024122,special,2,,,attack_2,4,sp_sk_hit_blueexplor,,,,
302413,3,生命赞颂,ui_skill_24,对后排随机1个敌人造成233%攻击的伤害，恢复我方全体68%攻击的生命值,3024131|3024132,special,2,,,attack_2,4,sp_sk_hit_blueexplor,,,,
302421,1,回春,ui_passiveSkill_42,队友受到治疗时使该队友攻击+11%，持续1回合,3024211,passive,2,,,,,,,,,
302422,2,回春,ui_passiveSkill_42,队友受到治疗时使该队友攻击+12%，持续1回合,3024221,passive,2,,,,,,,,,
302423,3,回春,ui_passiveSkill_42,队友受到治疗时使该队友攻击+14%，持续1回合,3024231,passive,2,,,,,,,,,
302431,1,防御提升,ui_passiveSkill_physicalDefence,防御+9%,11203,passive,2,,,,,,,,,
302432,2,防御提升,ui_passiveSkill_physicalDefence,防御+11%,11204,passive,2,,,,,,,,,
302433,3,防御提升,ui_passiveSkill_physicalDefence,防御+13%,11205,passive,2,,,,,,,,,
302441,1,善良,ui_passiveSkill_63,普攻伤害降为90%的伤害，使自身治疗效果+21%，持续到战斗结束,3024411|3024412,passive,2,,,,,,,,,
302442,2,善良,ui_passiveSkill_63,普攻伤害降为90%的伤害，使自身治疗效果+21%，持续到战斗结束,3024421|3024422,passive,2,,,,,,,,,
302443,3,善良,ui_passiveSkill_63,普攻伤害降为90%的伤害，使自身治疗效果+21%，持续到战斗结束,3024431|3024432,passive,2,,,,,,,,,
302501,1,,,,3025011,normal,2,,,attack_1,2,sp_magicball,,,,
302511,1,波澜不惊,ui_skill_25,对后排敌人造成74%攻击的伤害，使目标暴击-9%，暴伤-9%，持续2回合,3025111|3025112,special,2,,,attack_2,4,sp_sk_hit_tornado_blue,,,,
302512,2,波澜不惊,ui_skill_25,对后排敌人造成81%攻击的伤害，使目标暴击-11%，暴伤-11%，持续2回合,3025121|3025122,special,2,,,attack_2,4,sp_sk_hit_tornado_blue,,,,
302513,3,波澜不惊,ui_skill_25,对后排敌人造成89%攻击的伤害，使目标暴击-12%，暴伤-12%，持续2回合,3025131|3025132,special,2,,,attack_2,4,sp_sk_hit_tornado_blue,,,,
302521,1,疾浪之力,ui_passiveSkill_43,己方战士类队友速度+5%，持续到战斗结束,3025211,passive,2,,,,,,,,,
302522,2,疾浪之力,ui_passiveSkill_43,己方战士类队友速度+5%，持续到战斗结束,3025221,passive,2,,,,,,,,,
302523,3,疾浪之力,ui_passiveSkill_43,己方战士类队友速度+6%，持续到战斗结束,3025231,passive,2,,,,,,,,,
302531,1,防御提升,ui_passiveSkill_physicalDefence,防御+9%,11203,passive,2,,,,,,,,,
302532,2,防御提升,ui_passiveSkill_physicalDefence,防御+11%,11204,passive,2,,,,,,,,,
302533,3,防御提升,ui_passiveSkill_physicalDefence,防御+13%,11205,passive,2,,,,,,,,,
302541,1,海风之蚀,ui_passiveSkill_64,施放技能时使目标防御-14%，持续1回合,3025411,passive,2,,,,,,,,,
302542,2,海风之蚀,ui_passiveSkill_64,施放技能时使目标防御-16%，持续1回合,3025421,passive,2,,,,,,,,,
302543,3,海风之蚀,ui_passiveSkill_64,施放技能时使目标防御-18%，持续1回合,3025431,passive,2,,,,,,,,,
323501,1,,,,3235011,normal,1,,,attack_1,,,,,,
323511,1,冰冷防护,ui_skill_23,对后排随机2个敌人造成143%攻击的伤害，使目标回怒-42%，持续2回合,3235111|3235112,special,2,,,attack_2,4,sp_sk_hit_blueexplor,,,,
323512,2,冰冷防护,ui_skill_23,对后排随机2个敌人造成156%攻击的伤害，使目标回怒-48%，持续2回合,3235121|3235122,special,2,,,attack_2,,,,,,
323513,3,冰冷防护,ui_skill_23,对后排随机2个敌人造成171%攻击的伤害，使目标回怒-54%，持续2回合,3235131|3235132,special,2,,,attack_2,,,,,,
323514,4,冰冷防护,ui_skill_23,对后排随机2个敌人造成190%攻击的伤害，使目标回怒-60%，持续2回合,3235141|3235142,special,2,,,attack_2,,,,,,
323521,1,元素护甲,ui_passiveSkill_223,回合结束时若生命低于50%，则有30%几率无敌，免疫所有伤害，持续2回合,3235212,passive,2,,,,,,,,,
323522,2,元素护甲,ui_passiveSkill_223,回合结束时若生命低于50%，则有30%几率无敌，免疫所有伤害，持续2回合,3235222,passive,2,,,,,,,,,
323523,3,元素护甲,ui_passiveSkill_223,回合结束时若生命低于50%，则有30%几率无敌，免疫所有伤害，持续2回合,3235232,passive,2,,,,,,,,,
323524,4,元素护甲,ui_passiveSkill_223,回合结束时若生命低于50%，则有30%几率无敌，免疫所有伤害，持续2回合,3235242,passive,2,,,,,,,,,
323531,1,生命提升,ui_passiveSkill_hp,生命+10%,11403,passive,2,,,,,,,,,
323532,2,生命提升,ui_passiveSkill_hp,生命+15%,11404,passive,2,,,,,,,,,
323533,3,生命提升,ui_passiveSkill_hp,生命+20%,11405,passive,2,,,,,,,,,
323534,4,生命提升,ui_passiveSkill_hp,生命+25%，防御+11%,11406|11204,passive,2,,,,,,,,,
323541,1,冰冻之心,ui_skill_11,受击时20%几率使攻击者冰冻，无法行动，持续2回合，受击时70%几率为我方队友治疗3%最大生命,3235412|3235413,passive,2,,,,,,,,,
323542,2,冰冻之心,ui_skill_11,受击时20%几率使攻击者冰冻，无法行动，持续2回合，受击时70%几率为我方队友治疗4%最大生命,3235422|3235423,passive,2,,,,,,,,,
323543,3,冰冻之心,ui_skill_11,受击时20%几率使攻击者冰冻，无法行动，持续2回合，受击时70%几率为我方队友治疗4%最大生命,3235432|3235433,passive,2,,,,,,,,,
323544,4,冰冻之心,ui_skill_11,受击时20%几率使攻击者冰冻，无法行动，持续2回合，受击时70%几率为我方队友治疗5%最大生命,3235442|3235443,passive,2,,,,,,,,,
323551,1,心生惧意,ui_skill_15,受击时40%几率使攻击者下一次伤害为0,3235511,passive,2,,,,,,,,,
323601,1,,,,3236011,normal,1,,,attack_1,,,,,,
323602,2,,,,3236021,normal,1,,,attack_1,,,,,,
323611,1,乘风破浪,ui_skill_23,对随机3个敌人造成93%攻击的伤害，增伤+14%，持续2回合,3236111|3236113,special,2,,,attack_2,,,,,,
323612,2,乘风破浪,ui_skill_23,对随机3个敌人造成101%攻击的伤害，增伤+16%，持续2回合,3236121|3236123,special,2,,,attack_2,,,,,,
323613,3,乘风破浪,ui_skill_23,对随机3个敌人造成111%攻击的伤害，增伤+18%，持续2回合,3236131|3236133,special,2,,,attack_2,,,,,,
323614,4,乘风破浪,ui_skill_23,对随机3个敌人造成124%攻击的伤害，增伤+20%，持续2回合,3236141|3236143,special,2,,,attack_2,,,,,,
323621,1,扬帆起航,ui_skill_82,攻击时将80%伤害转化为自身血量,3236211,passive,2,,,,,,,,,
323622,2,扬帆起航,ui_skill_82,攻击时将90%伤害转化为自身血量,3236221,passive,2,,,,,,,,,
323623,3,扬帆起航,ui_skill_82,攻击时将100%伤害转化为自身血量,3236231,passive,2,,,,,,,,,
323624,4,扬帆起航,ui_skill_82,攻击时将115%伤害转化为自身血量,3236241,passive,2,,,,,,,,,
323631,1,攻击提升,ui_passiveSkill_critical,攻击+9%,11003,passive,2,,,,,,,,,
323632,2,攻击提升,ui_passiveSkill_critical,攻击+11%,11004,passive,2,,,,,,,,,
323633,3,攻击提升,ui_passiveSkill_critical,攻击+13%,11005,passive,2,,,,,,,,,
323634,4,攻击提升,ui_passiveSkill_critical,攻击+15%，生命+20%,11006|11405,passive,2,,,,,,,,,
323641,1,同舟共济,ui_passiveSkill_154,使自身攻击+21%，持续到战斗结束，有25%几率反弹控制效果,3236411|3236412,passive,2,,,,,,,,,
323642,2,同舟共济,ui_passiveSkill_154,使自身攻击+24%，持续到战斗结束，有35%几率反弹控制效果,3236421|3236422,passive,2,,,,,,,,,
323643,3,同舟共济,ui_passiveSkill_154,使自身攻击+27%，持续到战斗结束，有50%几率反弹控制效果,3236431|3236432,passive,2,,,,,,,,,
323644,4,同舟共济,ui_passiveSkill_154,使自身攻击+30%，持续到战斗结束，有75%几率反弹控制效果,3236441|3236442,passive,2,,,,,,,,,
323651,1,寒冰惩击,ui_passiveSkill_32,普攻时优先攻击冰冻目标，对处于冰冻状态的敌人造成额外5%最大生命的伤害,3236511|3236512,passive,2,,,,,,,,,
323701,1,,,,3180011,normal,2,,,attack_1,2,sp_120_attack_fly,,,,
323711,1,,ui_skill_118,,3180011,special,2,,,attack_2,,,,,,
323712,2,,ui_skill_118,,3180011,special,2,,,attack_2,,,,,,
323713,3,,ui_skill_118,,3180011,special,2,,,attack_2,,,,,,
323714,4,,ui_skill_118,,3180011,special,2,,,attack_2,,,,,,
323721,1,,ui_passiveSkill_178,,3180011,passive,2,,,,,,,,,
323722,2,,ui_passiveSkill_178,,3180011,passive,2,,,,,,,,,
323723,3,,ui_passiveSkill_178,,3180011,passive,2,,,,,,,,,
323724,4,,ui_passiveSkill_178,,3180011,passive,2,,,,,,,,,
323731,1,攻击提升,ui_passiveSkill_critical,攻击+9%,11003,passive,2,,,,,,,,,
323732,2,攻击提升,ui_passiveSkill_critical,攻击+11%,11004,passive,2,,,,,,,,,
323733,3,攻击提升,ui_passiveSkill_critical,攻击+13%,11005,passive,2,,,,,,,,,
323734,4,攻击提升,ui_passiveSkill_critical,攻击+15%，生命+20%,11006|11405,passive,2,,,,,,,,,
323741,1,,ui_passiveSkill_155,,3180011,passive,2,,,,,,,,,
323742,2,,ui_passiveSkill_155,,3180011,passive,2,,,,,,,,,
323743,3,,ui_passiveSkill_155,,3180011,passive,2,,,,,,,,,
323744,4,,ui_passiveSkill_155,,3180011,passive,2,,,,,,,,,
323751,1,,ui_passiveSkill_136,,3180011,passive,2,,,,,,,,,
323752,2,,ui_passiveSkill_136,,3180011,passive,2,,,,,,,,,
323753,3,,ui_passiveSkill_136,,3180011,passive,2,,,,,,,,,
323754,4,,ui_passiveSkill_136,,3180011,passive,2,,,,,,,,,
323801,1,,,,3180011,normal,2,,,attack_1,2,sp_arrow,,,,
323811,1,,ui_skill_118,,3180011,special,2,,,attack_2,,,,,,
323812,2,,ui_skill_118,,3180011,special,2,,,attack_2,,,,,,
323813,3,,ui_skill_118,,3180011,special,2,,,attack_2,,,,,,
323814,4,,ui_skill_118,,3180011,special,2,,,attack_2,,,,,,
323821,1,,ui_passiveSkill_178,,3180011,passive,2,,,,,,,,,
323822,2,,ui_passiveSkill_178,,3180011,passive,2,,,,,,,,,
323823,3,,ui_passiveSkill_178,,3180011,passive,2,,,,,,,,,
323824,4,,ui_passiveSkill_178,,3180011,passive,2,,,,,,,,,
323831,1,防御提升,ui_passiveSkill_physicalDefence,防御+9%,11203,passive,2,,,,,,,,,
323832,2,防御提升,ui_passiveSkill_physicalDefence,防御+11%,11204,passive,2,,,,,,,,,
323833,3,防御提升,ui_passiveSkill_physicalDefence,防御+13%,11205,passive,2,,,,,,,,,
323834,4,防御提升,ui_passiveSkill_physicalDefence,防御+15%，生命+20%,11206|11405,passive,2,,,,,,,,,
323841,1,,ui_passiveSkill_155,,3180011,passive,2,,,,,,,,,
323842,2,,ui_passiveSkill_155,,3180011,passive,2,,,,,,,,,
323843,3,,ui_passiveSkill_155,,3180011,passive,2,,,,,,,,,
323844,4,,ui_passiveSkill_155,,3180011,passive,2,,,,,,,,,
323851,1,,ui_passiveSkill_136,,3180011,passive,2,,,,,,,,,
323852,2,,ui_passiveSkill_136,,3180011,passive,2,,,,,,,,,
323853,3,,ui_passiveSkill_136,,3180011,passive,2,,,,,,,,,
