Id,drawGroup,item,probability
182,blend,30219~1|10007~20,
183,blend,30220~1|10007~20,
184,blend,30342~1|10007~20,
185,blend,30214~1|10007~20,
186,blend,30341~1|10007~20,
187,blend,30344~1|10007~20,
188,blend,30345~1|10007~20,
189,blend,30468~1|10007~20,
190,blend,30470~1|10007~20,
191,blend,21046~15|10007~20,
192,blend,21047~15|10007~20,
193,blend,21056~15|10007~20,
194,blend,21057~15|10007~20,
195,extra,30019~1,
196,extra,30020~1,
197,extra,30021~1,
198,extra,30023~1,
199,extra,30024~1,
200,extra,30025~1,
201,extra,30059~1,
202,extra,30060~1,
203,extra,30061~1,
204,extra,30062~1,
205,extra,30063~1,
206,extra,30064~1,
207,extra,30136~1,
208,extra,30137~1,
209,extra,30140~1,
210,extra,30141~1,
211,extra,30142~1,
212,extra,30301~1,
213,extra,30022~1,
214,extra,30235~1,
215,extra,30236~1,
216,extra,30058~1,
217,extra,30256~1,
218,extra,30260~1,
219,extra,30138~1,
220,extra,30300~1,
221,extraWater,30019~1|10007~20,
222,extraWater,30020~1|10007~20,
223,extraWater,30021~1|10007~20,
224,extraWater,30023~1|10007~20,
225,extraWater,30024~1|10007~20,
226,extraWater,30025~1|10007~20,
227,extraWater,30022~1|10007~20,
228,extraWater,30235~1|10007~20,
229,extraWater,30236~1|10007~20,
230,extraThunder,30059~1|10007~20,
231,extraThunder,30060~1|10007~20,
232,extraThunder,30061~1|10007~20,
233,extraThunder,30062~1|10007~20,
234,extraThunder,30063~1|10007~20,
235,extraThunder,30064~1|10007~20,
236,extraThunder,30058~1|10007~20,
237,extraThunder,30256~1|10007~20,
238,extraThunder,30260~1|10007~20,
239,extraFire,30136~1|10007~20,
240,extraFire,30137~1|10007~20,
241,extraFire,30140~1|10007~20,
242,extraFire,30141~1|10007~20,
243,extraFire,30142~1|10007~20,
244,extraFire,30301~1|10007~20,
245,extraFire,30138~1|10007~20,
246,extraFire,30300~1|10007~20,
247,extraBlend,30177~1|10007~20,
248,extraBlend,30180~1|10007~20,
249,extraBlend,30175~1|10007~20,
250,extraBlend,30178~1|10007~20,
251,extraBlend,30319~1|10007~20,
252,extraBlend,30321~1|10007~20,
253,extraBlend,30323~1|10007~20,
254,extraBlend,30324~1|10007~20,
255,extraBlend,30445~1|10007~20,
256,extraBlend,30448~1|10007~20,
257,extraBlend,30217~1|10007~20,
258,extraBlend,30219~1|10007~20,
259,extraBlend,30220~1|10007~20,
260,extraBlend,30342~1|10007~20,
261,extraBlend,30214~1|10007~20,
262,extraBlend,30341~1|10007~20,
263,extraBlend,30344~1|10007~20,
264,extraBlend,30345~1|10007~20,
265,extraBlend,30468~1|10007~20,
266,extraBlend,30470~1|10007~20,
267,ten,30021~1,
268,ten,30060~1,
269,ten,30062~1,
270,ten,30063~1,
271,ten,30141~1,
272,ten,30301~1,
273,normalTen,30009~1,
274,normalTen,30010~1,
275,normalTen,30011~1,
276,normalTen,30047~1,
277,normalTen,30048~1,
278,normalTen,30051~1,
279,normalTen,30125~1,
280,normalTen,30126~1,
281,normalTen,30129~1,
282,normalTen,30164~1,
283,normalTen,30167~1,
284,normalTen,30206~1,
285,normalTen,30207~1,
286,normalTen,30014~1,
287,normalTen,30015~1,
288,normalTen,30016~1,
289,normalTen,30018~1,
290,normalTen,30052~1,
291,normalTen,30053~1,
292,normalTen,30054~1,
293,normalTen,30056~1,
294,normalTen,30130~1,
295,normalTen,30131~1,
296,normalTen,30133~1,
297,normalTen,30134~1,
298,normalTen,30169~1,
299,normalTen,30170~1,
300,normalTen,30171~1,
301,normalTen,30208~1,
302,normalTen,30209~1,
303,normalTen,30213~1,
304,normalTen,30019~1,
305,normalTen,30020~1,
306,normalTen,30021~1,
307,normalTen,30023~1,
308,normalTen,30024~1,
309,normalTen,30025~1,
310,normalTen,30059~1,
311,normalTen,30060~1,
312,normalTen,30061~1,
313,normalTen,30062~1,
314,normalTen,30063~1,
315,normalTen,30064~1,
316,normalTen,30136~1,
317,normalTen,30137~1,
318,normalTen,30140~1,
319,normalTen,30141~1,
320,normalTen,30142~1,
321,normalTen,30301~1,
322,normalTen,30235~1,
323,normalTen,30058~1,
324,extraTenLow,30009~1,
325,extraTenLow,30010~1,
326,extraTenLow,30011~1,
327,extraTenLow,30047~1,
328,extraTenLow,30048~1,
329,extraTenLow,30051~1,
330,extraTenLow,30125~1,
331,extraTenLow,30126~1,
332,extraTenLow,30129~1,
333,extraTenLow,30164~1,
334,extraTenLow,30167~1,
335,extraTenLow,30206~1,
336,extraTenLow,30207~1,
337,extraTenLow,30014~1,
338,extraTenLow,30015~1,
339,extraTenLow,30016~1,
340,extraTenLow,30018~1,
341,extraTenLow,30052~1,
342,extraTenLow,30053~1,
343,extraTenLow,30054~1,
344,extraTenLow,30056~1,
345,extraTenLow,30130~1,
346,extraTenLow,30131~1,
347,extraTenLow,30133~1,
348,extraTenLow,30134~1,
349,extraTenLow,30169~1,
350,extraTenLow,30170~1,
351,extraTenLow,30171~1,
352,extraTenLow,30208~1,
353,extraTenLow,30209~1,
354,extraTenLow,30213~1,
