id,txt_Name,txt_Desc,icon,group,overlap,priority,round,buffType,dispel,attribute,func,controlType,deathDrop,noFollow,activeJson,activeName,heroAct,persistJson,position
11204,防御提升4,防御+11%,,11204,1,10,9999,1|30|301,,1200~0.11,,,,,,,,,
11205,防御提升5,防御+13%,,11205,1,10,9999,1|30|301,,1200~0.13,,,,,,,,,
11206,防御提升6,防御+15%,,11206,1,10,9999,1|30|301,,1200~0.15,,,,,,,,,
11401,生命上升1,生命+5%,,11401,1,10,9999,1|30|301,,1400~0.05,,,,,,,,,
11402,生命上升2,生命+7%,,11402,1,10,9999,1|30|301,,1400~0.07,,,,,,,,,
11403,生命上升3,生命+10%,,11403,1,10,9999,1|30|301,,1400~0.1,,,,,,,,,
11404,生命上升4,生命+15%,,11404,1,10,9999,1|30|301,,1400~0.15,,,,,,,,,
11405,生命上升5,生命+20%,,11405,1,10,9999,1|30|301,,1400~0.2,,,,,,,,,
11406,生命上升6,生命+25%,,11406,1,10,9999,1|30|301,,1400~0.25,,,,,,,,,
12001,暴击提升1,暴击+5%,,12001,1,10,9999,1|30|301,,20~0.05,,,,,,,,,
12002,暴击提升2,暴击+7%,,12002,1,10,9999,1|30|301,,20~0.07,,,,,,,,,
12003,暴击提升3,暴击+9%,,12003,1,10,9999,1|30|301,,20~0.09,,,,,,,,,
12004,暴击提升4,暴击+11%,,12004,1,10,9999,1|30|301,,20~0.11,,,,,,,,,
12005,暴击提升5,暴击+13%,,12005,1,10,9999,1|30|301,,20~0.13,,,,,,,,,
12006,暴击提升6,暴击+15%,,12006,1,10,9999,1|30|301,,20~0.15,,,,,,,,,
20001,,杯赛超时属性加成阶段1,,20001,99,10,9999,1|30|301,,1000~0.2,,,,,,,,,
20002,,杯赛超时属性加成阶段2,,20002,99,10,9999,1|30|301,,1000~0.5,,,,,,,,,
20003,,杯赛超时属性加成阶段3,,20003,99,10,9999,1|30|301,,1000~1,,,,,,,,,
20004,,杯赛超时属性加成阶段4,,20004,99,10,9999,1|30|301,,1000~5,,,,,,,,,
20005,,杯赛超时属性加成阶段5,,20005,99,10,9999,1|30|301,,1000~10,,,,,,,,,
3004112,,防御-36%,buff_defenDown,3004112,1,10,1,2|30|302,1,1200~-0.36,,,1,,,,,,
3009112,,增伤+14%,buff_atkUp,3009112,1,10,1,1|30|301,1,40~0.14,,,1,,,,,,
3014112,防御降低,防御-21%,buff_defenDown,3014112,1,10,2,2|30|302,1,1200~-0.21,,,1,,,,,,
3014211,攻击冰冻,攻击时10%几率使目标冰冻，无法行动，持续1回合,,3014211,1,10,9999,1|50|501,,,buff_atkExtraBuff~atker_self~0.1~defenser~1~1040,,,,,,,,
3015211,攻击附加寒霜,普通攻击有25%几率使目标寒霜，每回合受到施法者攻击25%的伤害，持续1回合,,3015211,1,10,1,1|50|501,,,buff_atkExtraBuff~atker_self|skillType_normal~0.25~defenser~1~3015212,,,,,,,,
3015212,寒霜,寒霜，每回合受到施法者攻击25%的伤害，持续1回合,buff_frost,3015212,10,10,1,2|10|105,1,,buff_dot~1~originAtk~2~0.25,,1,,,,,sp_cr_h_ovelia_5,p_h
3016112,死亡减疗,若2回合内标记目标死亡，则使己方全体受疗效果-22%，持续1回合,buff_commonDown,3016112,1,10,2,2|50|501,1,,buff_deathExtraBuff~self~1~1_order_6_min~1~3016113,,1,,,,,,
3016113,受疗降低,受疗效果-22%,buff_defenDown,3016113,2,10,1,2|30|302,1,31~-0.22,,,1,,,,,,
3018211,,攻击时使目标防御-36%，持续1回合,,3018211,1,10,9999,1|50|501,,,buff_atkExtraBuff~atker_self~1~defenser~1~3018212,,,,,,,,
3018212,防御降低,防御-36%,buff_defenDown,3018212,1,10,1,2|30|302,1,1200~-0.36,,,1,,,,,,
3019211,1,每有1个敌人被冰冻，使自身防御+21%，持续到战斗结束,,3019211,1,10,9999,1|50|501,,,buff_buffTypeExtraBuff~enemy|buffType_207~1~self~1~3019212,,,,,,,,
3019221,2,每有1个敌人被冰冻，使自身防御+24%，持续到战斗结束,,3019221,1,20,9999,1|50|501,,,buff_buffTypeExtraBuff~enemy|buffType_207~1~self~1~3019222,,,,,,,,
3019231,3,每有1个敌人被冰冻，使自身防御+27%，持续到战斗结束,,3019231,1,30,9999,1|50|501,,,buff_buffTypeExtraBuff~enemy|buffType_207~1~self~1~3019232,,,,,,,,
3019212,防御提升,防御+21%,buff_defensUp,3019212,6,10,9999,1|30|301,1,1200~0.21,,,1,,,,,,
3019222,防御提升,防御+24%,buff_defensUp,3019222,6,20,9999,1|30|301,1,1200~0.24,,,1,,,,,,
3019232,防御提升,防御+27%,buff_defensUp,3019232,6,30,9999,1|30|301,1,1200~0.27,,,1,,,,,,
3019411,1,每有1个敌人被附加寒霜效果，使自身防御+21%，持续到战斗结束,,3019411,1,10,9999,1|50|501,,,buff_buffTypeExtraBuff~enemy|buffType_105~1~self~1~3019412,,,,,,,,
3019421,2,每有1个敌人被附加寒霜效果，使自身防御+24%，持续到战斗结束,,3019421,1,20,9999,1|50|501,,,buff_buffTypeExtraBuff~enemy|buffType_105~1~self~1~3019422,,,,,,,,
3019431,3,每有1个敌人被附加寒霜效果，使自身防御+27%，持续到战斗结束,,3019431,1,30,9999,1|50|501,,,buff_buffTypeExtraBuff~enemy|buffType_105~1~self~1~3019432,,,,,,,,
3019412,防御提升,防御+21%,buff_defensUp,3019412,6,10,9999,1|30|301,1,1200~0.21,,,1,,,,,,
3019422,防御提升,防御+24%,buff_defensUp,3019422,6,20,9999,1|30|301,1,1200~0.24,,,1,,,,,,
3019432,防御提升,防御+27%,buff_defensUp,3019432,6,30,9999,1|30|301,1,1200~0.27,,,1,,,,,,
3020112,寒霜,寒霜，每回合受到施法者攻击18%的伤害，持续2回合,buff_frost,3020112,10,10,2,2|10|105,1,,buff_dot~1~originAtk~2~0.18,,1,,,,,sp_cr_h_ovelia_5,p_h
3020122,寒霜,寒霜，每回合受到施法者攻击21%的伤害，持续2回合,buff_frost,3020122,10,20,2,2|10|105,1,,buff_dot~1~originAtk~2~0.21,,1,,,,,sp_cr_h_ovelia_5,p_h
3020132,寒霜,寒霜，每回合受到施法者攻击24%的伤害，持续2回合,buff_frost,3020132,10,30,2,2|10|105,1,,buff_dot~1~originAtk~2~0.24,,1,,,,,sp_cr_h_ovelia_5,p_h
3020211,1,对处于寒霜状态的敌人造成额外40%伤害,,3020211,1,10,9999,1|50|501,,,buff_atkExtraDmg~1~buffType_target_105~skillDmg~0.4~2,,,,,,,,
3020221,2,对处于寒霜状态的敌人造成额外40%伤害,,3020221,1,20,9999,1|50|501,,,buff_atkExtraDmg~1~buffType_target_105~skillDmg~0.4~2,,,,,,,,
3020231,3,对处于寒霜状态的敌人造成额外40%伤害,,3020231,1,30,9999,1|50|501,,,buff_atkExtraDmg~1~buffType_target_105~skillDmg~0.4~2,,,,,,,,
3020411,1,症状减伤+12%,,3020411,1,10,9999,1|30|301,,45~0.12,,,,,,,,,
3020421,2,症状减伤+14%,,3020421,1,20,9999,1|30|301,,45~0.14,,,,,,,,,
3020431,3,症状减伤+16%,,3020431,1,30,9999,1|30|301,,45~0.16,,,,,,,,,
3021112,寒霜,寒霜，每回合受到施法者攻击21%的伤害，持续3回合,buff_frost,3021112,10,10,3,2|10|105,1,,buff_dot~1~originAtk~2~0.21,,1,,,,,sp_cr_h_ovelia_5,p_h
3021122,寒霜,寒霜，每回合受到施法者攻击24%的伤害，持续3回合,buff_frost,3021122,10,20,3,2|10|105,1,,buff_dot~1~originAtk~2~0.24,,1,,,,,sp_cr_h_ovelia_5,p_h
3021132,寒霜,寒霜，每回合受到施法者攻击27%的伤害，持续3回合,buff_frost,3021132,10,30,3,2|10|105,1,,buff_dot~1~originAtk~2~0.27,,1,,,,,sp_cr_h_ovelia_5,p_h
3021211,1,对法师增伤+12%,,3021211,1,10,9999,1|30|301,,48~0.12,,,,,,,,,
3021221,2,对法师增伤+14%,,3021221,1,20,9999,1|30|301,,48~0.14,,,,,,,,,
3021231,3,对法师增伤+16%,,3021231,1,30,9999,1|30|301,,48~0.16,,,,,,,,,
3021212,1,队友受击时50%几率使自身攻击+19%，持续1回合，最高叠加6层,,3021212,1,10,9999,1|50|501,,,buff_atkExtraBuff~defenser_teammate~0.5~1_self_1~1~3021213,,,,,,,,
3021222,2,队友受击时50%几率使自身攻击+22%，持续1回合，最高叠加6层,,3021222,1,20,9999,1|50|501,,,buff_atkExtraBuff~defenser_teammate~0.5~1_self_1~1~3021223,,,,,,,,
3021232,3,队友受击时50%几率使自身攻击+25%，持续1回合，最高叠加6层,,3021232,1,30,9999,1|50|501,,,buff_atkExtraBuff~defenser_teammate~0.5~1_self_1~1~3021233,,,,,,,,
3021213,攻击提升,攻击+19%,buff_atkUp,3021213,6,10,1,1|30|301,1,1000~0.19,,,1,,,,,,
3021223,攻击提升,攻击+22%,buff_atkUp,3021223,6,20,1,1|30|301,1,1000~0.22,,,1,,,,,,
3021233,攻击提升,攻击+25%,buff_atkUp,3021233,6,30,1,1|30|301,1,1000~0.25,,,1,,,,,,
3021411,1,对辅助增伤+12%,,3021411,1,10,9999,1|30|301,,50~0.12,,,,,,,,,
3021421,2,对辅助增伤+14%,,3021421,1,20,9999,1|30|301,,50~0.14,,,,,,,,,
3021431,3,对辅助增伤+16%,,3021431,1,30,9999,1|30|301,,50~0.16,,,,,,,,,
3021412,1,攻击时使自身暴伤+47%，持续2回合,,3021412,1,10,9999,1|50|501,,,buff_atkExtraBuff~atker_self~1~atker~1~3021413,,,,,,,,
3021422,2,攻击时使自身暴伤+54%，持续2回合,,3021422,1,20,9999,1|50|501,,,buff_atkExtraBuff~atker_self~1~atker~1~3021423,,,,,,,,
3021432,3,攻击时使自身暴伤+61%，持续2回合,,3021432,1,30,9999,1|50|501,,,buff_atkExtraBuff~atker_self~1~atker~1~3021433,,,,,,,,
3021413,爆伤提升,暴伤+47%,buff_critUp,3021413,1,10,2,1|30|301,1,21~0.47,,,1,,,,,,
3021423,爆伤提升,暴伤+54%,buff_critUp,3021423,1,20,2,1|30|301,1,21~0.54,,,1,,,,,,
3021433,爆伤提升,暴伤+61%,buff_critUp,3021433,1,30,2,1|30|301,1,21~0.61,,,1,,,,,,
3022211,1,死亡时25%几率使敌方随机2个目标冰冻，无法行动，持续2回合,,3022211,1,10,9999,1|50|501,,,buff_deathExtraBuff~self~0.25~0_random_2~1~1041,,,,,,,,
3022221,2,死亡时28%几率使敌方随机2个目标冰冻，无法行动，持续2回合,,3022211,1,20,9999,1|50|501,,,buff_deathExtraBuff~self~0.28~0_random_2~1~1041,,,,,,,,
3022231,3,死亡时31%几率使敌方随机2个目标冰冻，无法行动，持续2回合,,3022211,1,30,9999,1|50|501,,,buff_deathExtraBuff~self~0.31~0_random_2~1~1041,,,,,,,,
3022241,4,死亡时35%几率使敌方随机2个目标冰冻，无法行动，持续2回合,,3022211,1,40,9999,1|50|501,,,buff_deathExtraBuff~self~0.35~0_random_2~1~1041,,,,,,,,
3022212,1,死亡时使敌方全体攻击-15%，防御-15%，持续2回合,,3022212,1,10,9999,1|50|501,,,buff_deathExtraBuff~self~1~0_order_6_min~1~3022213,,,,,,,,
3022222,2,死亡时使敌方全体攻击-18%，防御-18%，持续2回合,,3022212,1,20,9999,1|50|501,,,buff_deathExtraBuff~self~1~0_order_6_min~1~3022223,,,,,,,,
3022232,3,死亡时使敌方全体攻击-21%，防御-21%，持续2回合,,3022212,1,30,9999,1|50|501,,,buff_deathExtraBuff~self~1~0_order_6_min~1~3022233,,,,,,,,
3022242,4,死亡时使敌方全体攻击-25%，防御-25%，持续2回合,,3022212,1,40,9999,1|50|501,,,buff_deathExtraBuff~self~1~0_order_6_min~1~3022243,,,,,,,,
3022213,攻击防御降低,攻击-15%，防御-15%,buff_atkDown,3022213,1,10,2,2|30|302,1,1000~-0.15|1200~-0.15,,,1,,,,,,
3022223,攻击防御降低,攻击-18%，防御-18%,buff_atkDown,3022213,1,20,2,2|30|302,1,1000~-0.18|1200~-0.18,,,1,,,,,,
3022233,攻击防御降低,攻击-21%，防御-21%,buff_atkDown,3022213,1,30,2,2|30|302,1,1000~-0.21|1200~-0.21,,,1,,,,,,
3022243,攻击防御降低,攻击-25%，防御-25%,buff_atkDown,3022213,1,40,2,2|30|302,1,1000~-0.25|1200~-0.25,,,1,,,,,,
3022411,1,攻击时使目标寒霜，每回合受到施法者攻击40%的伤害，持续2回合,,3022411,1,10,9999,1|50|501,,,buff_atkExtraBuff~atker_self~1~defenser~1~3022412,,,,,,,,
3022421,2,攻击时使目标寒霜，每回合受到施法者攻击46%的伤害，持续2回合,,3022411,1,20,9999,1|50|501,,,buff_atkExtraBuff~atker_self~1~defenser~1~3022422,,,,,,,,
3022431,3,攻击时使目标寒霜，每回合受到施法者攻击52%的伤害，持续2回合,,3022411,1,30,9999,1|50|501,,,buff_atkExtraBuff~atker_self~1~defenser~1~3022432,,,,,,,,
3022441,4,攻击时使目标寒霜，每回合受到施法者攻击60%的伤害，持续2回合,,3022411,1,40,9999,1|50|501,,,buff_atkExtraBuff~atker_self~1~defenser~1~3022442,,,,,,,,
3022412,寒霜,寒霜，每回合受到施法者攻击40%的伤害，持续2回合,buff_frost,3022412,10,10,2,2|10|105,1,,buff_dot~1~originAtk~2~0.4,,1,,,,,sp_cr_h_ovelia_5,p_h
3022422,寒霜,寒霜，每回合受到施法者攻击46%的伤害，持续2回合,buff_frost,3022412,10,20,2,2|10|105,1,,buff_dot~1~originAtk~2~0.46,,1,,,,,sp_cr_h_ovelia_5,p_h
3022432,寒霜,寒霜，每回合受到施法者攻击52%的伤害，持续2回合,buff_frost,3022412,10,30,2,2|10|105,1,,buff_dot~1~originAtk~2~0.52,,1,,,,,sp_cr_h_ovelia_5,p_h
3022442,寒霜,寒霜，每回合受到施法者攻击60%的伤害，持续2回合,buff_frost,3022412,10,40,2,2|10|105,1,,buff_dot~1~originAtk~2~0.6,,1,,,,,sp_cr_h_ovelia_5,p_h
3022511,1,行动开始时对全体敌人造成15%攻击的伤害，并附加寒霜，每回合受到施法者攻击10%的伤害，持续1回合,,3022511,1,10,9999,1|50|501,,,buff_actStartDmgBuff~dmg~0_order_6_min~1~selfAtk~0.15~1~3022512,,,,,,,,
3022512,寒霜,寒霜，每回合受到施法者攻击10%的伤害，持续1回合,buff_frost,3022512,10,40,1,2|10|105,1,,buff_dot~1~originAtk~2~0.1,,1,,,,,sp_cr_h_ovelia_5,p_h
3023211,1,对战士增伤+12%,,3023211,1,10,9999,1|30|301,,47~0.12,,,,,,,,,
3023221,2,对战士增伤+14%,,3023211,1,20,9999,1|30|301,,47~0.14,,,,,,,,,
3023231,3,对战士增伤+16%,,3023211,1,30,9999,1|30|301,,47~0.16,,,,,,,,,
3023241,4,对战士增伤+18%,,3023211,1,40,9999,1|30|301,,47~0.18,,,,,,,,,
3023212,1,施放技能时50%概率使目标禁魔2回合,,3023212,1,10,9999,1|50|501,,,buff_atkExtraBuff~skillType_special|atker_self~0.5~defenser~1~1016,,,,,,,,
3023222,2,施放技能时50%概率使目标禁魔2回合,,3023212,1,20,9999,1|50|501,,,buff_atkExtraBuff~skillType_special|atker_self~0.5~defenser~1~1016,,,,,,,,
3023232,3,施放技能时50%概率使目标禁魔2回合,,3023212,1,30,9999,1|50|501,,,buff_atkExtraBuff~skillType_special|atker_self~0.5~defenser~1~1016,,,,,,,,
3023242,4,施放技能时50%概率使目标禁魔2回合,,3023212,1,40,9999,1|50|501,,,buff_atkExtraBuff~skillType_special|atker_self~0.5~defenser~1~1016,,,,,,,,
3023411,1,暴击+14%，暴伤+14%,,3023411,1,10,9999,1|30|301,,20~0.14|21~0.14,,,,,,,,,
3023421,2,暴击+16%，暴伤+16%,,3023411,1,20,9999,1|30|301,,20~0.16|21~0.16,,,,,,,,,
3023431,3,暴击+18%，暴伤+18%,,3023411,1,30,9999,1|30|301,,20~0.18|21~0.18,,,,,,,,,
3023441,4,暴击+21%，暴伤+21%,,3023411,1,40,9999,1|30|301,,20~0.21|21~0.21,,,,,,,,,
3023412,1,暴击时使我方任意目标怒气+25,,3023412,1,10,9999,1|50|501,,,buff_atkEnergy~atker_self|crit~1~randomTeam~25,,,,,,,,
3023422,2,暴击时使我方任意目标怒气+25,,3023412,1,20,9999,1|50|501,,,buff_atkEnergy~atker_self|crit~1~randomTeam~25,,,,,,,,
3023432,3,暴击时使我方任意目标怒气+25,,3023412,1,30,9999,1|50|501,,,buff_atkEnergy~atker_self|crit~1~randomTeam~25,,,,,,,,
3023442,4,暴击时使我方任意目标怒气+25,,3023412,1,40,9999,1|50|501,,,buff_atkEnergy~atker_self|crit~1~randomTeam~25,,,,,,,,
3023511,1,回合结束时50%几率对敌方随机1个目标造成攻击30%的真实伤害，并有25%几率使其冰冻，无法行动，持续1回合,,3023511,1,10,9999,1|50|501,,,buff_roundEndDmgBuff~dmg~1~0_random_1~0.5~selfAtk~0.3~0.25~1040,,,,,,,,
3024113,护盾,为目标附加自己最大生命20%的护盾,buff_shield,3024113,1,10,1,1|40,1,,buff_attrToShield~self~14~0.2,,1,,,,,sp_shield,scale
3024123,护盾,为目标附加自己最大生命20%的护盾,buff_shield,3024113,1,20,1,1|40,1,,buff_attrToShield~self~14~0.2,,1,,,,,sp_shield,scale
3024133,护盾,为目标附加自己最大生命20%的护盾,buff_shield,3024113,1,30,1,1|40,1,,buff_attrToShield~self~14~0.2,,1,,,,,sp_shield,scale
3024211,1,队友受到治疗时使该队友攻击+11%，持续1回合,,3024211,1,10,9999,1|50|501,,,buff_cureExtraBuff~teammate~1~defenser~1~3024212,,,,,,,,
3024221,2,队友受到治疗时使该队友攻击+12%，持续1回合,,3024211,1,20,9999,1|50|501,,,buff_cureExtraBuff~teammate~1~defenser~1~3024222,,,,,,,,
3024231,3,队友受到治疗时使该队友攻击+14%，持续1回合,,3024211,1,30,9999,1|50|501,,,buff_cureExtraBuff~teammate~1~defenser~1~3024232,,,,,,,,
3024212,攻击提升,攻击+11%,buff_atkUp,3024212,1,10,1,1|30|301,1,1000~0.11,,,1,,,,,,
3024222,攻击提升,攻击+12%,buff_atkUp,3024212,1,20,1,1|30|301,1,1000~0.12,,,1,,,,,,
3024232,攻击提升,攻击+14%,buff_atkUp,3024212,1,30,1,1|30|301,1,1000~0.14,,,1,,,,,,
3024412,1,治疗效果+21%,,3024412,1,10,9999,1|30|301,,30~0.21,,,,,,,,,
3024422,2,治疗效果+24%,,3024412,1,20,9999,1|30|301,,30~0.24,,,,,,,,,
3024432,3,治疗效果+27%,,3024412,1,30,9999,1|30|301,,30~0.27,,,,,,,,,
3025112,暴击暴伤减低,暴击-9%，暴伤-9%,buff_critDown,3025112,1,10,2,2|30|302,1,20~-0.09|21~-0.09,,,1,,,,,,
3025122,暴击暴伤减低,暴击-11%，暴伤-11%,buff_critDown,3025112,1,20,2,2|30|302,1,20~-0.11|21~-0.11,,,1,,,,,,
3025132,暴击暴伤减低,暴击-12%，暴伤-12%,buff_critDown,3025112,1,30,2,2|30|302,1,20~-0.12|21~-0.12,,,1,,,,,,
3025211,速度提升,速度+5%,,3025211,1,10,9999,1|30|301,,1500~0.05,,,,,,,,,
3025221,速度提升,速度+5%,,3025211,1,20,9999,1|30|301,,1500~0.05,,,,,,,,,
3025231,速度提升,速度+6%,,3025211,1,30,9999,1|30|301,,1500~0.06,,,,,,,,,
3025411,1,施放技能时使目标防御-14%，持续1回合,,3025411,1,10,9999,1|50|501,,,buff_atkExtraBuff~skillType_special|atker_self~1~defenser~1~3025412,,,,,,,,
3025421,2,施放技能时使目标防御-16%，持续1回合,,3025411,1,20,9999,1|50|501,,,buff_atkExtraBuff~skillType_special|atker_self~1~defenser~1~3025422,,,,,,,,
3025431,3,施放技能时使目标防御-18%，持续1回合,,3025411,1,30,9999,1|50|501,,,buff_atkExtraBuff~skillType_special|atker_self~1~defenser~1~3025432,,,,,,,,
3025412,防御降低,防御-14%,buff_defenDown,3025412,1,10,1,2|30|302,1,1200~-0.14,,,1,,,,,,
3025422,防御降低,防御-16%,buff_defenDown,3025412,1,20,1,2|30|302,1,1200~-0.16,,,1,,,,,,
3025432,防御降低,防御-18%,buff_defenDown,3025412,1,30,1,2|30|302,1,1200~-0.18,,,1,,,,,,
3042112,偷取暴击,偷取自身10%暴击，加到施法者身上，持续1回合,buff_commonDown,3042112,1,10,9999,2|50|302,1,,buff_steal~self~20~0.1~2,,1,,,,,,
3043112,防御提升,防御+36%,buff_defensUp,3043112,1,10,1,1|30|301,1,1200~0.36,,,1,,,,,,
3046112,速度提升,速度+22.05,buff_speedUp,3046112,1,10,1,1|30|301,1,15~22.05,,,1,,,,,,
3047112,防御提升,防御+22%,buff_defensUp,3047112,1,10,1,1|30|301,1,1200~0.22,,,1,,,,,,
3052112,伤害反弹,受击时反弹20%伤害给攻击者,buff_commonUp,3052112,1,10,1,1|50|501,1,,buff_reboundDmg~1~0.2~2,,1,,,,,,
3052211,1,受击时使自身怒气+5,,3052211,1,10,9999,1|50|501,,,buff_atkEnergy~defenser_self|dmgType_dmg~1~self~5,,,,,,,,
3053112,防御降低,防御-35%,buff_defenDown,3053112,1,10,2,2|30|302,1,1200~-0.35,,,1,,,,,,
3053211,攻击附加中毒,攻击时30%几率使目标中毒，每回合受到施法者攻击25%的伤害，持续1回合,,3053211,1,10,9999,1|50|501,,,buff_atkExtraBuff~atker_self~0.3~defenser~1~3053212,,,,,,,,
3053212,中毒,中毒，每回合受到施法者攻击25%的伤害，持续1回合,buff_poison,3053212,10,10,1,2|10|104,1,,buff_dot~1~originAtk~2~0.25,,1,,,,,sp_bf_last_poison,p_h
3054211,刺客增伤,对战士增伤+12%,,3054211,1,10,9999,1|30|301,,47~0.12,,,,,,,,,
3056112,免疫控制,免疫控制效果，持续1回合,buff_commonUp,3056112,1,10,1,1|50|501,1,,buff_immuneBuffType~20,,1,,,,,,
3056211,1,免疫暴击,,3056211,1,10,9999,1|50|501,,,buff_critNot,,,,,,,,
3058112,嘲讽,普攻和主动技能只会攻击施法者,buff_taunt,3058112,1,10,1,2|20|204,1,,buff_taunt,,1,,,,,ui_chaofeng_icon,p_h
3058122,嘲讽,普攻和主动技能只会攻击施法者,buff_taunt,3058112,1,20,1,2|20|204,1,,buff_taunt,,1,,,,,ui_chaofeng_icon,p_h
3058132,嘲讽,普攻和主动技能只会攻击施法者,buff_taunt,3058112,1,30,1,2|20|204,1,,buff_taunt,,1,,,,,ui_chaofeng_icon,p_h
3058142,嘲讽,普攻和主动技能只会攻击施法者,buff_taunt,3058112,1,40,1,2|20|204,1,,buff_taunt,,1,,,,,ui_chaofeng_icon,p_h
3058113,减伤提升,减伤+14%,buff_defensUp,3058113,1,10,2,1|30|301,1,41~0.14,,,1,,,,,,
3058123,减伤提升,减伤+16%,buff_defensUp,3058113,1,20,2,1|30|301,1,41~0.16,,,1,,,,,,
