id,chapter,roundType,bossId,monster,show,reward,minuteCurrency
519,26,0,,30509~142|30510~142|30217~142|30142~142|30140~142|30140~142|0~142,,10001~57125|10003~38630,10003~942|10001~599|10005~358
520,26,1,30180,30019~142|30130~142|30178~142|30219~142|30024~142|30180~144|0~142,21051~5,10001~57175|10003~38680|21051~5|10005~44880|10006~45,10003~943|10001~600|10005~358
521,27,0,,30301~142|30059~142|30512~142|30504~142|30023~142|30060~142|0~142,,10001~57225|10003~38730|23104~1,10003~945|10001~601|10005~359
522,27,0,,30136~143|30301~143|30508~143|30503~143|30503~143|30140~143|0~143,,10001~57275|10003~38780,10003~946|10001~602|10005~359
523,27,0,,30301~143|30137~143|30518~143|30511~143|30025~143|30508~143|0~143,,10001~57325|10003~38830|23204~1,10003~948|10001~603|10005~359
524,27,0,,30501~143|30509~143|30180~143|30219~143|30502~143|30342~143|0~143,,10001~57375|10003~38880,10003~950|10001~604|10005~359
525,27,0,,30136~143|30236~143|30018~143|30180~143|30018~143|30025~143|0~143,21041~20,10001~57425|10003~38930|21041~20|10006~45,10003~951|10001~606|10005~359
526,27,0,,30505~143|30059~143|30061~143|30023~143|30511~143|30141~143|0~143,,10001~57475|10003~38980|10005~45160|23304~1,10003~953|10001~607|10005~359
527,27,0,,30501~143|30505~143|30507~143|30502~143|30021~143|30064~143|0~143,,10001~57525|10003~39030,10003~955|10001~608|10005~359
528,27,0,,30060~143|30136~143|30062~143|30518~143|30512~143|30064~143|0~143,,10001~57575|10003~39080|23404~1,10003~956|10001~609|10005~359
529,27,0,,30506~144|30505~144|30515~144|30504~144|30503~144|30503~144|0~144,,10001~57625|10003~39130|10005~45160,10003~958|10001~610|10005~359
530,27,1,30301,30137~144|30059~144|30177~144|30178~144|30177~144|30301~146|0~144,21051~5,10001~57675|10003~39180|21051~5|10006~45,10003~960|10001~612|10005~360
531,27,0,,30506~144|30060~144|30064~144|30141~144|30141~144|30140~144|0~144,,10001~57725|10003~39230|23104~1,10003~961|10001~612|10005~360
532,27,0,,30136~144|30501~144|30063~144|30025~144|30507~144|30508~144|0~144,,10001~57775|10003~39280,10003~963|10001~613|10005~360
533,27,0,,30021~144|30019~144|30512~144|30508~144|30025~144|30142~144|0~144,,10001~57825|10003~39330|23204~1,10003~965|10001~613|10005~360
534,27,0,,30505~144|30060~144|30507~144|30502~144|30511~144|30140~144|0~144,,10001~57875|10003~39380,10003~966|10001~614|10005~360
535,27,0,,30137~144|30020~144|30056~144|30178~144|30018~144|30061~144|0~144,21041~20,10001~57925|10003~39430|21041~20|10005~45440|10006~45,10003~968|10001~615|10005~360
536,27,0,,30137~144|30509~144|30061~144|30502~144|30502~144|30023~144|0~144,,10001~57975|10003~39480|23304~1,10003~970|10001~615|10005~360
537,27,0,,30059~145|30505~145|30141~145|30024~145|30503~145|30504~145|0~145,,10001~58025|10003~39530,10003~971|10001~616|10005~360
538,27,0,,30021~145|30509~145|30342~145|30518~145|30503~145|30503~145|0~145,,10001~58075|10003~39580|10005~45440|23404~1,10003~973|10001~617|10005~360
539,27,0,,30137~145|30516~145|30342~145|30504~145|30062~145|30508~145|0~145,,10001~58125|10003~39630,10003~975|10001~617|10005~360
540,27,1,30448,30235~145|30169~145|30141~145|30321~145|30061~145|30448~147|0~145,21051~5,10001~58175|10003~39680|21051~5|10006~45,10003~977|10001~618|10005~360
541,28,0,,30059~145|30059~145|30503~145|30180~145|30502~145|30511~145|0~145,,10001~58225|10003~39730|23104~1,10003~978|10001~618|10005~361
542,28,0,,30301~145|30060~145|30061~145|30503~145|30515~145|30503~145|0~145,,10001~58275|10003~39780,10003~980|10001~619|10005~361
543,28,0,,30509~145|30505~145|30217~145|30504~145|30512~145|30508~145|0~145,,10001~58325|10003~39830|23204~1,10003~982|10001~620|10005~361
544,28,0,,30021~145|30513~145|30502~145|30141~145|30141~145|30342~145|0~145,,10001~58375|10003~39880|10005~45720,10003~983|10001~620|10005~361
545,28,0,,30208~145|30060~145|30133~145|30061~145|30134~145|30025~145|0~145,21041~20,10001~58425|10003~39930|21041~20|10006~45,10003~985|10001~621|10005~361
546,28,0,,30020~145|30020~145|30508~145|30507~145|30508~145|30217~145|0~145,,10001~58475|10003~39980|23304~1,10003~987|10001~622|10005~361
547,28,0,,30301~145|30021~145|30062~145|30141~145|30515~145|30511~145|0~145,,10001~58525|10003~40030|10005~45720,10003~988|10001~622|10005~361
548,28,0,,30059~146|30020~146|30504~146|30180~146|30511~146|30504~146|0~146,,10001~58575|10003~40080|23404~1,10003~990|10001~623|10005~361
549,28,0,,30509~146|30506~146|30512~146|30518~146|30023~146|30217~146|0~146,,10001~58625|10003~40130,10003~992|10001~623|10005~361
550,28,1,30256,30136~146|30021~146|30142~146|30063~146|30178~146|30256~148|0~146,21051~5,10001~58675|10003~40180|21051~5|10006~45,10003~994|10001~624|10005~361
551,28,0,,30021~146|30516~146|30024~146|30503~146|30508~146|30342~146|0~146,,10001~58725|10003~40230|23104~1,10003~995|10001~625|10005~362
552,28,0,,30021~146|30513~146|30515~146|30023~146|30508~146|30142~146|0~146,,10001~58775|10003~40280,10003~997|10001~625|10005~362
553,28,0,,30060~146|30058~146|30518~146|30512~146|30141~146|30512~146|0~146,,10001~58825|10003~40330|10005~46000|23204~1,10003~999|10001~626|10005~362
554,28,0,,30517~146|30021~146|30504~146|30342~146|30518~146|30060~146|0~146,,10001~58875|10003~40380,10003~1000|10001~627|10005~362
555,28,0,,30130~146|30053~146|30171~146|30180~146|30213~146|30061~146|0~146,21041~20,10001~58925|10003~40430|21041~20|10006~45,10003~1002|10001~627|10005~362
556,28,0,,30020~146|30019~146|30021~146|30507~146|30515~146|30140~146|0~146,,10001~58975|10003~40480|10005~46000|23304~1,10003~1004|10001~628|10005~362
557,28,0,,30506~146|30517~146|30180~146|30502~146|30503~146|30508~146|0~146,,10001~59025|10003~40530,10003~1005|10001~628|10005~362
558,28,0,,30020~146|30136~146|30061~146|30142~146|30515~146|30518~146|0~146,,10001~59075|10003~40580|23404~1,10003~1007|10001~629|10005~362
559,28,0,,30506~147|30235~147|30064~147|30504~147|30063~147|30024~147|0~147,,10001~59125|10003~40630,10003~1009|10001~630|10005~362
560,28,1,30236,30235~147|30060~147|30061~147|30301~147|30063~147|30236~149|0~147,21051~5,10001~59175|10003~40680|21051~5|10006~45,10003~1011|10001~630|10005~362
561,29,0,,30501~147|30510~147|30507~147|30512~147|30060~147|30508~147|0~147,,10001~59225|10003~40730|23104~1,10003~1012|10001~631|10005~362
562,29,0,,30020~147|30517~147|30515~147|30061~147|30062~147|30504~147|0~147,,10001~59275|10003~40780|10005~46280,10003~1014|10001~632|10005~363
563,29,0,,30501~147|30505~147|30508~147|30140~147|30220~147|30021~147|0~147,,10001~59325|10003~40830|23204~1,10003~1016|10001~632|10005~363
564,29,0,,30301~147|30501~147|30502~147|30502~147|30342~147|30142~147|0~147,,10001~59375|10003~40880,10003~1017|10001~633|10005~363
565,29,0,,30169~147|30021~147|30015~147|30301~147|30016~147|30142~147|0~147,21041~20,10001~59425|10003~40930|21041~20|10005~46280|10006~45,10003~1019|10001~633|10005~363
566,29,0,,30510~147|30513~147|30504~147|30024~147|30512~147|30180~147|0~147,,10001~59475|10003~40980|23304~1,10003~1021|10001~634|10005~363
567,29,0,,30136~148|30513~148|30021~148|30064~148|30504~148|30342~148|0~148,,10001~59525|10003~41030,10003~1022|10001~635|10005~363
568,29,0,,30501~148|30517~148|30220~148|30503~148|30515~148|30512~148|0~148,,10001~59575|10003~41080|23404~1,10003~1024|10001~635|10005~363
569,29,0,,30058~148|30021~148|30503~148|30060~148|30023~148|30511~148|0~148,,10001~59625|10003~41130,10003~1026|10001~636|10005~363
570,29,1,30062,30136~148|30208~148|30301~148|30301~148|30061~148|30062~150|0~148,21051~5,10001~59675|10003~41180|21051~5|10006~45,10003~1028|10001~637|10005~363
571,29,0,,30510~148|30058~148|30518~148|30023~148|30503~148|30507~148|0~148,,10001~59725|10003~41230|10005~46560|23104~1,10003~1029|10001~637|10005~363
572,29,0,,30058~148|30510~148|30063~148|30507~148|30507~148|30025~148|0~148,,10001~59775|10003~41280,10003~1031|10001~638|10005~364
573,29,0,,30517~148|30301~148|30060~148|30518~148|30023~148|30504~148|0~148,,10001~59825|10003~41330|23204~1,10003~1033|10001~639|10005~364
574,29,0,,30019~149|30020~149|30342~149|30507~149|30063~149|30140~149|0~149,,10001~59875|10003~41380|10005~46560,10003~1034|10001~639|10005~364
575,29,0,,30169~149|30014~149|30213~149|30220~149|30133~149|30062~149|0~149,21041~20,10001~59925|10003~41430|21041~20|10006~45,10003~1036|10001~640|10005~364
576,29,0,,30059~149|30137~149|30024~149|30504~149|30511~149|30141~149|0~149,,10001~59975|10003~41480|23304~1,10003~1038|10001~640|10005~364
577,29,0,,30020~149|30517~149|30063~149|30507~149|30507~149|30503~149|0~149,,10001~60025|10003~41530,10003~1039|10001~641|10005~364
578,29,0,,30136~149|30020~149|30503~149|30502~149|30518~149|30518~149|0~149,,10001~60075|10003~41580|23404~1,10003~1041|10001~642|10005~364
579,29,0,,30060~149|30513~149|30518~149|30180~149|30504~149|30025~149|0~149,,10001~60125|10003~41630,10003~1043|10001~642|10005~364
580,29,1,30021,30058~149|30021~149|30023~149|30321~149|30140~149|30021~151|0~149,21051~5,10001~60175|10003~41680|21051~5|10005~46840|10006~45,10003~1045|10001~643|10005~364
581,30,0,,30235~149|30058~149|30503~149|30502~149|30515~149|30512~149|0~149,,10001~60225|10003~41730|23104~1,10003~1046|10001~644|10005~364
582,30,0,,30236~150|30058~150|30060~150|30140~150|30217~150|30063~150|0~150,,10001~60275|10003~41780,10003~1048|10001~644|10005~364
583,30,0,,30138~150|30138~150|30324~150|30061~150|30022~150|30180~150|0~150,,10001~60325|10003~41830|10005~46840|23204~1,10003~1050|10001~645|10005~365
584,30,0,,30235~150|30445~150|30023~150|30260~150|30236~150|30470~150|0~150,,10001~60375|10003~41880,10003~1051|10001~645|10005~365
585,30,0,,30137~150|30020~150|30171~150|30342~150|30054~150|30061~150|0~150,21041~20,10001~60425|10003~41930|21041~20|10006~45,10003~1053|10001~646|10005~365
586,30,0,,30137~150|30060~150|30300~150|30063~150|30060~150|30324~150|0~150,,10001~60475|10003~41980|23304~1,10003~1055|10001~647|10005~365
587,30,0,,30138~150|30324~150|30024~150|30470~150|30062~150|30061~150|0~150,,10001~60525|10003~42030,10003~1056|10001~647|10005~365
588,30,0,,30324~150|30138~150|30180~150|30024~150|30062~150|30062~150|0~150,,10001~60575|10003~42080|23404~1,10003~1058|10001~648|10005~365
589,30,0,,30341~150|30058~150|30260~150|30300~150|30060~150|30342~150|0~150,,10001~60625|10003~42130|10005~47120,10003~1060|10001~649|10005~365
590,30,1,30345,30175~150|30169~150|30062~150|30342~150|30321~150|30345~152|0~150,21051~5,10001~60675|10003~42180|21051~5|10006~45,10003~1062|10001~649|10005~365
591,30,0,,30058~150|30324~150|30023~150|30256~150|30341~150|30023~150|0~150,,10001~60725|10003~42230|23104~1,10003~1063|10001~650|10005~365
592,30,0,,30445~150|30019~150|30023~150|30470~150|30300~150|30140~150|0~150,,10001~60775|10003~42280|10005~47120,10003~1065|10001~650|10005~365
593,30,0,,30136~150|30301~150|30236~150|30256~150|30260~150|30220~150|0~150,,10001~60825|10003~42330|23204~1,10003~1067|10001~651|10005~366
594,30,0,,30019~150|30060~150|30300~150|30142~150|30142~150|30470~150|0~150,,10001~60875|10003~42380,10003~1068|10001~652|10005~366
595,30,0,,30136~150|30059~150|30133~150|30140~150|30018~150|30063~150|0~150,21041~20,10001~60925|10003~42430|21041~20|10006~45,10003~1070|10001~652|10005~366
596,30,0,,30341~150|30138~150|30236~150|30260~150|30024~150|30300~150|0~150,,10001~60975|10003~42480|23304~1,10003~1072|10001~653|10005~366
597,30,0,,30341~150|30136~150|30342~150|30219~150|30022~150|30060~150|0~150,,10001~61025|10003~42530,10003~1073|10001~654|10005~366
598,30,0,,30301~150|30058~150|30341~150|30064~150|30141~150|30021~150|0~150,,10001~61075|10003~42580|10005~47400|23404~1,10003~1075|10001~654|10005~366
599,30,0,,30341~150|30236~150|30061~150|30236~150|30022~150|30341~150|0~150,,10001~61125|10003~42630,10003~1077|10001~655|10005~366
600,30,1,30300,30214~150|30208~150|30064~150|30064~150|30217~150|30300~152|0~150,21051~5,10001~61175|10003~42680|21051~5,10003~1079|10001~655|10005~366
601,31,0,,30020~150|30301~150|30021~150|30064~150|30060~150|30061~150|0~150,,10001~61225|10003~42730|23104~1,10003~1080|10001~656|10005~366
602,31,0,,30301~150|30060~150|30470~150|30217~150|30064~150|30060~150|0~150,,10001~61275|10003~42780,10003~1082|10001~657|10005~366
603,31,0,,30138~150|30019~150|30024~150|30025~150|30324~150|30063~150|0~150,,10001~61325|10003~42830|23204~1,10003~1084|10001~657|10005~366
604,31,0,,30138~150|30021~150|30022~150|30260~150|30022~150|30470~150|0~150,,10001~61375|10003~42880,10003~1085|10001~658|10005~367
605,31,0,,30130~150|30014~150|30018~150|30180~150|30213~150|30219~150|0~150,21041~20,10001~61425|10003~42930|21041~20,10003~1087|10001~659|10005~367
606,31,0,,30058~150|30445~150|30256~150|30219~150|30260~150|30062~150|0~150,,10001~61475|10003~42980|23304~1,10003~1089|10001~659|10005~367
607,31,0,,30060~150|30138~150|30236~150|30260~150|30022~150|30061~150|0~150,,10001~61525|10003~43030,10003~1090|10001~660|10005~367
608,31,0,,30236~151|30301~151|30260~151|30256~151|30256~151|30022~151|0~151,,10001~61575|10003~43080|23404~1,10003~1092|10001~661|10005~367
609,31,0,,30445~151|30301~151|30217~151|30341~151|30142~151|30140~151|0~151,,10001~61625|10003~43130,10003~1094|10001~661|10005~367
610,31,1,30341,30136~151|30131~151|30321~151|30141~151|30180~151|30341~153|0~151,21051~5,10001~61675|10003~43180|21051~5,10003~1096|10001~662|10005~367
611,31,0,,30445~151|30341~151|30220~151|30300~151|30341~151|30260~151|0~151,,10001~61725|10003~43230|23104~1,10003~1097|10001~662|10005~367
612,31,0,,30445~151|30236~151|30219~151|30256~151|30342~151|30342~151|0~151,,10001~61775|10003~43280,10003~1099|10001~663|10005~367
613,31,0,,30021~151|30136~151|30256~151|30063~151|30022~151|30022~151|0~151,,10001~61825|10003~43330|23204~1,10003~1101|10001~664|10005~367
614,31,0,,30021~151|30020~151|30324~151|30022~151|30219~151|30470~151|0~151,,10001~61875|10003~43380,10003~1102|10001~664|10005~368
615,31,0,,30137~151|30021~151|30056~151|30217~151|30134~151|30301~151|0~151,21041~20,10001~61925|10003~43430|21041~20,10003~1104|10001~665|10005~368
616,31,0,,30324~151|30137~151|30220~151|30256~151|30470~151|30140~151|0~151,,10001~61975|10003~43480|23304~1,10003~1106|10001~666|10005~368
617,31,0,,30235~151|30341~151|30470~151|30025~151|30140~151|30342~151|0~151,,10001~62025|10003~43530,10003~1107|10001~666|10005~368
618,31,0,,30138~152|30341~152|30061~152|30256~152|30236~152|30217~152|0~152,,10001~62075|10003~43580|23404~1,10003~1109|10001~667|10005~368
619,31,0,,30021~152|30341~152|30300~152|30236~152|30236~152|30021~152|0~152,,10001~62125|10003~43630,10003~1111|10001~667|10005~368
620,31,1,30021,30137~152|30020~152|30142~152|30321~152|30344~152|30021~154|0~152,21051~5,10001~62175|10003~43680|21051~5,10003~1113|10001~668|10005~368
621,32,0,,30138~152|30235~152|30061~152|30063~152|30217~152|30142~152|0~152,,10001~62225|10003~43730|23104~1,10003~1114|10001~669|10005~368
622,32,0,,30019~152|30235~152|30180~152|30470~152|30300~152|30140~152|0~152,,10001~62275|10003~43780,10003~1116|10001~669|10005~368
623,32,0,,30021~153|30235~153|30324~153|30256~153|30140~153|30341~153|0~153,,10001~62325|10003~43830|23204~1,10003~1118|10001~670|10005~368
624,32,0,,30138~153|30137~153|30342~153|30470~153|30063~153|30341~153|0~153,,10001~62375|10003~43880,10003~1119|10001~671|10005~368
625,32,0,,30019~153|30053~153|30213~153|30177~153|30015~153|30025~153|0~153,21041~20,10001~62425|10003~43930|21041~20,10003~1121|10001~671|10005~369
626,32,0,,30235~153|30136~153|30063~153|30061~153|30022~153|30220~153|0~153,,10001~62475|10003~43980|23304~1,10003~1123|10001~672|10005~369
627,32,0,,30059~153|30301~153|30064~153|30063~153|30022~153|30324~153|0~153,,10001~62525|10003~44030,10003~1124|10001~672|10005~369
628,32,0,,30020~153|30021~153|30341~153|30256~153|30300~153|30236~153|0~153,,10001~62575|10003~44080|23404~1,10003~1126|10001~673|10005~369
629,32,0,,30058~154|30137~154|30023~154|30025~154|30021~154|30470~154|0~154,,10001~62625|10003~44130,10003~1128|10001~674|10005~369
630,32,1,30217,30137~154|30169~154|30180~154|30219~154|30024~154|30217~156|0~154,21051~5,10001~62675|10003~44180|21051~5,10003~1130|10001~674|10005~369
631,32,0,,30058~154|30137~154|30141~154|30324~154|30341~154|30061~154|0~154,,10001~62725|10003~44230|23104~1,10003~1131|10001~675|10005~369
632,32,0,,30136~154|30236~154|30061~154|30062~154|30324~154|30236~154|0~154,,10001~62775|10003~44280,10003~1133|10001~676|10005~369
633,32,0,,30138~154|30058~154|30300~154|30342~154|30062~154|30341~154|0~154,,10001~62825|10003~44330|23204~1,10003~1135|10001~676|10005~369
634,32,0,,30138~154|30021~154|30022~154|30220~154|30062~154|30217~154|0~154,,10001~62875|10003~44380,10003~1136|10001~677|10005~369
635,32,0,,30208~154|30138~154|30054~154|30061~154|30016~154|30025~154|0~154,21041~20,10001~62925|10003~44430|21041~20,10003~1138|10001~677|10005~370
636,32,0,,30060~154|30236~154|30063~154|30341~154|30324~154|30256~154|0~154,,10001~62975|10003~44480|23304~1,10003~1140|10001~678|10005~370
637,32,0,,30060~155|30060~155|30023~155|30024~155|30021~155|30180~155|0~155,,10001~63025|10003~44530,10003~1141|10001~679|10005~370
638,32,0,,30137~155|30058~155|30260~155|30142~155|30342~155|30217~155|0~155,,10001~63075|10003~44580|23404~1,10003~1143|10001~679|10005~370
639,32,0,,30059~155|30138~155|30023~155|30341~155|30236~155|30342~155|0~155,,10001~63125|10003~44630,10003~1145|10001~680|10005~370
640,32,1,30142,30175~155|30130~155|30063~155|30321~155|30220~155|30142~157|0~155,21051~5,10001~63175|10003~44680|21051~5,10003~1147|10001~681|10005~370
641,33,0,,30137~155|30059~155|30023~155|30141~155|30236~155|30341~155|0~155,,10001~63225|10003~44730|23104~1,10003~1148|10001~681|10005~370
642,33,0,,30020~155|30341~155|30300~155|30024~155|30256~155|30341~155|0~155,,10001~63275|10003~44780,10003~1150|10001~682|10005~370
643,33,0,,30324~155|30235~155|30025~155|30063~155|30180~155|30140~155|0~155,,10001~63325|10003~44830|23204~1,10003~1152|10001~683|10005~370
644,33,0,,30236~155|30137~155|30064~155|30260~155|30140~155|30256~155|0~155,,10001~63375|10003~44880,10003~1153|10001~683|10005~370
645,33,0,,30052~155|30236~155|30133~155|30178~155|30015~155|30217~155|0~155,21041~20,10001~63425|10003~44930|21041~20,10003~1155|10001~684|10005~370
646,33,0,,30138~155|30137~155|30063~155|30341~155|30260~155|30324~155|0~155,,10001~63475|10003~44980|23304~1,10003~1157|10001~684|10005~371
647,33,0,,30341~155|30301~155|30342~155|30025~155|30300~155|30217~155|0~155,,10001~63525|10003~45030,10003~1158|10001~685|10005~371
648,33,0,,30324~156|30445~156|30060~156|30256~156|30063~156|30025~156|0~156,,10001~63575|10003~45080|23404~1,10003~1160|10001~686|10005~371
649,33,0,,30236~156|30445~156|30341~156|30021~156|30470~156|30180~156|0~156,,10001~63625|10003~45130,10003~1162|10001~686|10005~371
650,33,1,30321,30058~156|30324~156|30140~156|30140~156|30064~156|30321~158|0~156,21051~5,10001~63675|10003~45180|21051~5,10003~1164|10001~687|10005~371
651,33,0,,30138~156|30445~156|30025~156|30141~156|30341~156|30260~156|0~156,,10001~63725|10003~45230|23104~1,10003~1165|10001~688|10005~371
652,33,0,,30020~156|30445~156|30300~156|30236~156|30300~156|30260~156|0~156,,10001~63775|10003~45280,10003~1167|10001~688|10005~371
653,33,0,,30059~156|30341~156|30061~156|30022~156|30341~156|30023~156|0~156,,10001~63825|10003~45330|23204~1,10003~1169|10001~689|10005~371
654,33,0,,30236~156|30137~156|30236~156|30300~156|30260~156|30062~156|0~156,,10001~63875|10003~45380,10003~1170|10001~689|10005~371
655,33,0,,30058~156|30059~156|30018~156|30023~156|30016~156|30219~156|0~156,21041~20,10001~63925|10003~45430|21041~20,10003~1172|10001~690|10005~371
656,33,0,,30236~156|30020~156|30256~156|30236~156|30025~156|30219~156|0~156,,10001~63975|10003~45480|23304~1,10003~1174|10001~691|10005~372
657,33,0,,30058~156|30301~156|30236~156|30341~156|30470~156|30064~156|0~156,,10001~64025|10003~45530,10003~1175|10001~691|10005~372
658,33,0,,30236~156|30137~156|30061~156|30236~156|30342~156|30470~156|0~156,,10001~64075|10003~45580|23404~1,10003~1177|10001~692|10005~372
659,33,0,,30021~157|30058~157|30341~157|30140~157|30342~157|30217~157|0~157,,10001~64125|10003~45630,10003~1179|10001~693|10005~372
660,33,1,30236,30019~157|30324~157|30062~157|30142~157|30177~157|30236~159|0~157,21051~5,10001~64175|10003~45680|21051~5,10003~1181|10001~693|10005~372
661,34,0,,30138~157|30059~157|30022~157|30341~157|30025~157|30140~157|0~157,,10001~64225|10003~45730|23104~1,10003~1182|10001~694|10005~372
662,34,0,,30138~157|30445~157|30260~157|30256~157|30470~157|30256~157|0~157,,10001~64275|10003~45780,10003~1184|10001~694|10005~372
663,34,0,,30301~157|30137~157|30470~157|30141~157|30300~157|30470~157|0~157,,10001~64325|10003~45830|23204~1,10003~1186|10001~695|10005~372
664,34,0,,30301~157|30235~157|30470~157|30219~157|30060~157|30064~157|0~157,,10001~64375|10003~45880,10003~1187|10001~696|10005~372
665,34,0,,30019~157|30060~157|30056~157|30023~157|30015~157|30140~157|0~157,21041~20,10001~64425|10003~45930|21041~20,10003~1189|10001~696|10005~372
666,34,0,,30301~157|30445~157|30142~157|30300~157|30062~157|30217~157|0~157,,10001~64475|10003~45980|23304~1,10003~1191|10001~697|10005~372
667,34,0,,30059~158|30324~158|30220~158|30300~158|30470~158|30022~158|0~158,,10001~64525|10003~46030,10003~1192|10001~698|10005~373
668,34,0,,30445~158|30136~158|30023~158|30470~158|30024~158|30341~158|0~158,,10001~64575|10003~46080|23404~1,10003~1194|10001~698|10005~373
669,34,0,,30021~158|30137~158|30260~158|30180~158|30300~158|30025~158|0~158,,10001~64625|10003~46130,10003~1196|10001~699|10005~373
670,34,1,30217,30019~158|30341~158|30178~158|30141~158|30219~158|30217~160|0~158,21051~5,10001~64675|10003~46180|21051~5,10003~1198|10001~699|10005~373
671,34,0,,30137~158|30021~158|30022~158|30300~158|30022~158|30220~158|0~158,,10001~64725|10003~46230|23104~1,10003~1199|10001~700|10005~373
672,34,0,,30058~158|30060~158|30022~158|30060~158|30180~158|30022~158|0~158,,10001~64775|10003~46280,10003~1201|10001~701|10005~373
673,34,0,,30341~158|30301~158|30022~158|30341~158|30236~158|30300~158|0~158,,10001~64825|10003~46330|23204~1,10003~1203|10001~701|10005~373
674,34,0,,30236~158|30059~158|30470~158|30022~158|30060~158|30064~158|0~158,,10001~64875|10003~46380,10003~1204|10001~702|10005~373
675,34,0,,30137~158|30170~158|30213~158|30061~158|30016~158|30062~158|0~158,21041~20,10001~64925|10003~46430|21041~20,10003~1206|10001~703|10005~373
676,34,0,,30445~158|30138~158|30060~158|30300~158|30064~158|30141~158|0~158,,10001~64975|10003~46480|23304~1,10003~1208|10001~703|10005~373
677,34,0,,30236~158|30138~158|30142~158|30060~158|30060~158|30236~158|0~158,,10001~65025|10003~46530,10003~1209|10001~704|10005~374
678,34,0,,30445~158|30341~158|30260~158|30342~158|30064~158|30470~158|0~158,,10001~65075|10003~46580|23404~1,10003~1211|10001~705|10005~374
679,34,0,,30341~158|30324~158|30219~158|30022~158|30260~158|30256~158|0~158,,10001~65125|10003~46630,10003~1213|10001~705|10005~374
680,34,1,30345,30235~158|30020~158|30142~158|30177~158|30025~158|30345~160|0~158,21051~5,10001~65175|10003~46680|21051~5,10003~1215|10001~706|10005~374
681,35,0,,30324~158|30021~158|30342~158|30140~158|30142~158|30300~158|0~158,,10001~65225|10003~46730|23104~1,10003~1216|10001~706|10005~374
682,35,0,,30136~158|30060~158|30141~158|30061~158|30324~158|30023~158|0~158,,10001~65275|10003~46780,10003~1218|10001~707|10005~374
683,35,0,,30236~158|30136~158|30217~158|30341~158|30219~158|30256~158|0~158,,10001~65325|10003~46830|23204~1,10003~1220|10001~708|10005~374
684,35,0,,30301~158|30136~158|30219~158|30256~158|30220~158|30220~158|0~158,,10001~65375|10003~46880,10003~1221|10001~708|10005~374
685,35,0,,30131~158|30059~158|30133~158|30061~158|30213~158|30061~158|0~158,21041~20,10001~65425|10003~46930|21041~20,10003~1223|10001~709|10005~374
